data,dataLength,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA,512,0,0,-1,0,-1,0,-1
DNA,8192,0,0,-1,0,-1,0,-1
DNA,16384,0,0,-1,0,-1,0,-1
DNA,262144,8,0,-1,0,-1,0,-1
DNA,524288,12,0,-1,13,-1,0,-1
DNA,1048576,60,0,-1,3,-1,12,-1
proteins,1048576,34,0,-1,0,-1,1,-1
realDNA,1048576,38,0,-1,5,-1,9,-1
english,1048576,38,0,-1,2,-1,1,-1
DNA,2097152,137,0,-1,5,-1,4,-1
proteins,2097152,56,1,-1,4,-1,6,-1
realDNA,2097152,82,2,-1,93,-1,6,-1
english,2097152,57,4,-1,11,-1,78,-1
DNA,4194304,184,1,-1,24,-1,170,-1
proteins,4194304,130,4,-1,8,-1,22,-1
realDNA,4194304,195,3,-1,15,-1,16,-1
english,4194304,163,4,-1,8,-1,26,-1
DNA,8388608,469,45,-1,100,-1,42,-1
proteins,8388608,224,10,-1,28,-1,48,-1
realDNA,8388608,700,4,-1,39,-1,74,-1
english,8388608,262,15,-1,36,-1,125,-1
DNA,16777216,1267,74,-1,1440,-1,2409,-1
proteins,16777216,2869,12,-1,83,-1,728,-1
realDNA,16777216,1826,3,-1,51,-1,47,-1
english,16777216,950,52,-1,145,-1,381,-1
