data,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA_512,0,0,-1,0,-1,0,-1
DNA_8192,0,0,-1,0,-1,0,-1
DNA_16384,0,0,-1,0,-1,0,-1
DNA_262144,1,3,-1,1,-1,0,-1
DNA_524288,2,5,-1,2,-1,0,-1
DNA_1048576,13,33,-1,11,-1,6,-1
proteins_1048576,6,6,-1,0,-1,1,-1
realDNA_1048576,27,129,-1,3,-1,5,-1
english_1048576,8,0,-1,2,-1,2,-1
DNA_2097152,27,65,-1,20,-1,16,-1
proteins_2097152,12,22,-1,4,-1,12,-1
realDNA_2097152,27,281,-1,10,-1,9,-1
english_2097152,19,1,-1,3,-1,8,-1
DNA_4194304,66,117,-1,11,-1,19,-1
proteins_4194304,40,626,-1,7,-1,18,-1
realDNA_4194304,104,628,-1,34,-1,46,-1
english_4194304,65,4,-1,8,-1,30,-1
DNA_8388608,93,344,-1,978,-1,46,-1
proteins_8388608,115,1423,-1,25,-1,36,-1
realDNA_8388608,191,1902,-1,36,-1,50,-1
english_8388608,141,29,-1,68,-1,65,-1
DNA_16777216,1014,1000,-1,1900,-1,192,-1
proteins_16777216,365,5225,-1,67,-1,1143,-1
realDNA_16777216,261,7912,-1,234,-1,548,-1
english_16777216,215,27,-1,418,-1,1550,-1
