data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,14,0,1,2,0,1,1
DNA_524288,0,0,5,33,0,3,3,0,3,4
DNA_1048576,0,0,19,91,3,17,10,1,8,8
proteins_1048576,0,0,8,33,1,5,7,1,5,4
realDNA_1048576,0,0,43,223,14,26,25,2,21,32
english_1048576,0,0,4,4,3,7,4,1,3,3
DNA_2097152,0,0,31,160,2,16,15,2,15,14
proteins_2097152,0,2,13,40,4,11,11,9,17,16
realDNA_2097152,0,1,158,761,19,108,86,14,100,93
english_2097152,0,4,13,10,3,12,10,17,25,24
DNA_4194304,0,1,218,968,15,106,75,7,93,66
proteins_4194304,0,4,60,248,5,37,34,26,54,50
realDNA_4194304,0,60,407,796,213,253,227,234,281,77
english_4194304,0,5,16,16,10,23,21,27,39,38
DNA_8388608,0,10,259,846,54,203,123,78,214,131
proteins_8388608,0,5,57,169,16,37,33,16,36,32
