data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,1,0,1,1,0,1,1
DNA_524288,0,0,4,3,0,6,4,0,6,4
DNA_1048576,0,0,9,10,3,16,11,1,9,9
proteins_1048576,0,0,5,5,0,5,5,1,6,6
realDNA_1048576,0,0,13,12,2,17,13,1,13,19
english_1048576,0,0,4,4,3,7,7,4,7,7
DNA_2097152,0,0,20,16,10,27,23,6,26,20
proteins_2097152,0,2,11,9,7,14,13,11,18,16
realDNA_2097152,0,0,24,17,2,23,17,7,27,22
english_2097152,0,3,13,10,16,24,24,17,26,25
DNA_4194304,0,1,113,66,23,117,78,11,105,65
proteins_4194304,0,28,100,84,61,149,121,112,197,173
realDNA_4194304,0,9,116,61,72,142,97,36,136,86
english_4194304,0,3,19,16,6,18,13,21,54,50
DNA_8388608,0,171,1437,500,550,1034,993,1771,1324,1011
proteins_8388608,0,4,37,23,5,31,23,18,44,38
