data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,12,0,0,0
DNA_16384,0,0,0,10,0,0,0,0,0,0
DNA_262144,0,1,2,157,0,1,5,0,1,1
DNA_524288,0,3,5,283,0,3,4,0,3,4
DNA_1048576,0,8,20,1101,2,10,12,1,9,12
proteins_1048576,0,3,6,200,6,14,42,7,10,6
realDNA_1048576,0,12,23,3190,2,21,35,7,29,64
english_1048576,0,0,3,3,0,3,4,1,3,3
DNA_2097152,0,13,36,2470,3,17,21,2,24,27
proteins_2097152,0,3,8,171,3,9,15,3,6,6
realDNA_2097152,0,14,40,2307,3,21,33,3,22,272
english_2097152,0,1,7,7,1,7,10,8,13,12
DNA_4194304,0,61,177,16611,1099,83,493,6,86,82
proteins_4194304,0,18,38,768,2,19,30,16,38,32
realDNA_4194304,0,49,342,15606,20,105,90,20,101,285
english_4194304,0,2,10,10,6,15,13,14,21,22
DNA_8388608,0,73,328,37574,316,645,505,333,643,1440
proteins_8388608,0,17,44,1091,16,37,49,38,64,62
