data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,1,0,5,1,0,0,0,0,0,0
DNA_262144,10,1,2,108,0,1,5,0,1,1
DNA_524288,13,3,6,98,0,6,6,1,6,7
DNA_1048576,48,7,16,840,0,10,10,1,9,10
proteins_1048576,86,8,15,89,1,5,8,2,7,7
realDNA_1048576,76,12,27,902,1,12,13,2,19,64
english_1048576,86,0,2,2,1,7,7,4,8,8
DNA_2097152,100,13,34,1268,3,16,17,2,20,25
proteins_2097152,51,5,12,94,5,11,10,2,411,6
realDNA_2097152,100,12,31,934,0,16,19,2,22,48
english_2097152,139,3,11,10,15,24,25,17,25,23
DNA_4194304,418,57,183,10851,17,99,190,9,103,167
proteins_4194304,405,31,74,922,14,51,94,95,513,626
realDNA_4194304,233,30,97,9319,15,87,72,17,90,136
english_4194304,185,2,17,12,4,15,15,16,30,26
DNA_8388608,2256,266,478,35709,122,331,216,116,381,362
proteins_8388608,241,23,56,666,11,41,47,38,65,61
