data,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA_512,0,0,-1,0,-1,0,-1
DNA_8192,0,0,-1,0,-1,0,-1
DNA_16384,1,0,-1,0,-1,0,-1
DNA_262144,14,3,-1,1,-1,1,-1
DNA_524288,20,6,-1,0,-1,0,-1
DNA_1048576,72,23,-1,2,-1,4,-1
proteins_1048576,73,7,-1,0,-1,1,-1
realDNA_1048576,123,126,-1,3,-1,2,-1
english_1048576,99,0,-1,2,-1,1,-1
DNA_2097152,233,61,-1,11,-1,6,-1
proteins_2097152,133,21,-1,17,-1,21,-1
realDNA_2097152,230,349,-1,8,-1,5,-1
english_2097152,165,5,-1,13,-1,27,-1
DNA_4194304,507,151,-1,10,-1,15,-1
proteins_4194304,293,590,-1,8,-1,33,-1
realDNA_4194304,474,642,-1,22,-1,46,-1
english_4194304,326,5,-1,8,-1,39,-1
DNA_8388608,958,333,-1,30,-1,50,-1
proteins_8388608,770,1214,-1,19,-1,32,-1
realDNA_8388608,1056,1426,-1,37,-1,50,-1
english_8388608,731,8,-1,29,-1,69,-1
DNA_16777216,12094,531,-1,76,-1,1843,-1
proteins_16777216,3096,2176,-1,39,-1,102,-1
realDNA_16777216,2339,3189,-1,51,-1,98,-1
english_16777216,1665,198,-1,64,-1,988,-1
