data,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA_512,0,0,-1,0,-1,0,-1
DNA_8192,0,0,-1,0,-1,0,-1
DNA_16384,0,0,-1,0,-1,0,-1
DNA_262144,0,2,-1,0,-1,1,-1
DNA_524288,0,4,-1,0,-1,1,-1
DNA_1048576,0,19,-1,5,-1,14,-1
proteins_1048576,0,5,-1,2,-1,7,-1
realDNA_1048576,0,9,-1,1,-1,1,-1
english_1048576,0,5,-1,2,-1,20,-1
DNA_2097152,0,41,-1,3,-1,6,-1
proteins_2097152,0,20,-1,9,-1,32,-1
realDNA_2097152,0,45,-1,10,-1,9,-1
english_2097152,0,9,-1,8,-1,23,-1
DNA_4194304,0,83,-1,15,-1,22,-1
proteins_4194304,0,22,-1,20,-1,65,-1
realDNA_4194304,0,85,-1,44,-1,44,-1
english_4194304,0,30,-1,12,-1,46,-1
DNA_8388608,0,154,-1,32,-1,31,-1
proteins_8388608,0,62,-1,71,-1,623,-1
realDNA_8388608,0,240,-1,98,-1,86,-1
english_8388608,0,84,-1,809,-1,85,-1
DNA_16777216,0,1275,-1,3075,-1,2851,-1
proteins_16777216,0,153,-1,98,-1,1247,-1
realDNA_16777216,0,888,-1,555,-1,53,-1
english_16777216,0,126,-1,1439,-1,2129,-1
