data,length,construction,query
english,256,9592,28,75
english,512,693,8,1,01
english,1024,1425,9,1,83
english,2048,2058,6,4,26
english,4096,7376,3,7,029999999999999
english,8192,21165,4,8,83
english,16384,86376,8,22,880000000000003
english,32768,99642,2,129,14000000000001
english,65536,208677,71,45
english,131072,440577,8,258,04
english,262144,976760,6,350,7
english,524288,1965078,4,898,25
english,1048576,4029179,1,1679,2
english,2097152,8234989,3,3382,79
english,4194304,17853557,9,7865,33
english,8388608,39231429,5,23432,65
