data,length,construction,query
english,256,1145,4,48
english,512,3988,6,7,92
english,1024,156,8,20,28
english,2048,366,8,30,589999999999996
english,4096,508,3,63,39
english,8192,910,2,194,09
english,16384,1857,5,349,45
english,32768,2318,373,45
english,65536,5647,6,2443,18
english,131072,11370,8,4015,31
english,262144,35896,2,3294,91
english,524288,44361,4,6694,039999999999
english,1048576,103664,4,15033,38
english,2097152,213977,35508,4
english,4194304,395764,5,71213,9
english,8388608,816929,5,159230,22
