data,dataLength,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA,512,2,0,0,0,0,0,0
DNA,8192,10,0,0,0,0,0,0
DNA,16384,28,0,0,0,0,0,0
DNA,262144,688,0,2,0,0,0,0
DNA,524288,1546,0,3,0,0,0,0
DNA,1048576,3231,0,7,0,1,0,0
proteins,1048576,3153,0,2,0,0,0,0
realDNA,1048576,3495,0,7,0,0,0,0
english,1048576,3295,0,0,0,0,0,0
DNA,2097152,6771,0,15,1,2,1,1
proteins,2097152,7313,0,4,0,0,1,1
realDNA,2097152,7160,0,19,1,1,1,1
english,2097152,6657,0,0,0,0,2,2
DNA,4194304,14508,0,43,2,2,1,2
proteins,4194304,15779,1,8,1,1,3,3
realDNA,4194304,14966,1,53,1,3,3,6
english,4194304,16449,1,1,1,3,7,51
DNA,8388608,58398,5,159,5,63,13,254
