data,dataLength,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA,512,1,0,0,0,0,0,0
DNA,8192,1,0,0,0,0,0,0
DNA,16384,1,0,0,0,0,0,0
DNA,262144,36,0,2,0,0,0,0
DNA,524288,59,0,3,1,2,1,1
DNA,1048576,131,0,9,3,4,4,4
proteins,1048576,66,0,1,0,0,0,0
realDNA,1048576,123,0,6,2,3,2,3
english,1048576,75,0,0,0,0,0,0
DNA,2097152,250,0,11,2,2,1,1
proteins,2097152,120,0,3,0,0,1,1
realDNA,2097152,250,0,13,1,1,0,1
english,2097152,309,5,6,7,8,23,22
DNA,4194304,597,0,39,2,5,1,2
proteins,4194304,374,1,7,1,1,12,12
realDNA,4194304,1491,53,66,38,72,20,230
english,4194304,456,1,5,0,3,13,186
DNA,8388608,7108,54,147,107,64,52,69
