data,dataLength,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA,512,0,0,0,0,0,0,0
DNA,8192,0,0,0,0,0,0,0
DNA,16384,0,0,0,0,0,0,0
DNA,262144,0,1,3,0,2,0,3
DNA,524288,0,2,4,0,4,0,4
DNA,1048576,0,7,9,1,6,0,7
proteins,1048576,0,2,3,0,3,0,2
realDNA,1048576,0,7,12,1,10,1,9
english,1048576,0,0,1,0,1,0,1
DNA,2097152,0,12,23,2,14,1,13
proteins,2097152,0,4,6,0,4,1,5
realDNA,2097152,0,12,46,2,22,1,22
english,2097152,0,0,2,0,2,1,4
DNA,4194304,0,43,58,5,37,11,29
proteins,4194304,0,71,82,20,18,111,25
realDNA,4194304,0,37,67,1,83,3,34
english,4194304,0,1,81,3,71,6,269
DNA,8388608,0,100,210,39,99,9,139
