data,dataLength,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA,512,0,0,0,0,0,0,0
DNA,8192,0,0,0,0,4,0,0
DNA,16384,0,0,0,0,0,0,0
DNA,262144,0,1,3,0,1,0,1
DNA,524288,0,2,6,0,3,0,3
DNA,1048576,0,8,14,0,8,0,13
proteins,1048576,0,1,3,0,2,0,2
realDNA,1048576,0,6,12,0,6,0,8
english,1048576,0,1,2,1,2,1,3
DNA,2097152,0,20,31,1,18,1,15
proteins,2097152,0,5,9,1,5,2,6
realDNA,2097152,0,13,33,0,16,1,16
english,2097152,0,6,4,2,3,22,6
DNA,4194304,0,33,83,3,36,2,42
proteins,4194304,0,26,18,3,13,61,96
realDNA,4194304,0,37,104,3,40,3,41
english,4194304,0,16,14,2,32,127,18
DNA,8388608,0,102,285,8,110,6,113
