data,dataLength,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA,512,2,0,1,0,0,0,0
DNA,8192,4,0,3,0,0,0,0
DNA,16384,4,0,15,0,0,0,0
DNA,262144,39,1,693,0,9,0,2
DNA,524288,82,2,1412,0,6,0,6
DNA,1048576,178,5,4924,0,21,1,24
proteins,1048576,162,1,550,0,19,0,1
realDNA,1048576,177,6,5611,0,26,0,107
english,1048576,172,0,1,0,4,0,0
DNA,2097152,369,11,11570,1,50,0,51
proteins,2097152,355,4,890,0,50,1,3
realDNA,2097152,1507,64,21440,54,49,94,278
english,2097152,366,1,1,1,37,1,2
DNA,4194304,1309,37,61748,63,740,10,598
proteins,4194304,1241,268,4037,3,66,8,31
realDNA,4194304,5924,127,98615,1318,553,983,2238
english,4194304,721,1,19,1,299,4,6
