data,dataLength,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA,512,0,0,0,0,0,0,0
DNA,8192,0,0,1,0,0,4,0
DNA,16384,0,0,2,0,0,0,0
DNA,262144,0,1,79,0,2,0,2
DNA,524288,0,2,362,0,3,0,3
DNA,1048576,0,6,761,0,7,0,9
proteins,1048576,0,1,57,0,4,0,1
realDNA,1048576,0,6,658,0,10,0,19
english,1048576,0,0,1,0,2,0,1
DNA,2097152,0,10,1704,1,22,0,20
proteins,2097152,0,3,154,0,13,1,4
realDNA,2097152,0,11,2144,1,20,1,47
english,2097152,0,0,3,0,6,1,5
DNA,4194304,0,124,20497,166,785,213,265
proteins,4194304,0,14,671,60,103,161,11
realDNA,4194304,0,41,15963,25,41,78,122
english,4194304,0,52,15,47,59,141,19
DNA,8388608,2,431,89355,261,4972,382,4040
