data,dataLength,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA,512,1,0,0,0,0,0,0
DNA,8192,14,0,1,0,0,0,0
DNA,16384,41,0,1,0,0,0,0
DNA,262144,598,0,74,0,1,0,0
DNA,524288,1301,0,228,0,1,0,1
DNA,1048576,2731,0,551,0,5,0,4
proteins,1048576,2810,0,75,0,3,0,0
realDNA,1048576,3108,0,950,0,3,0,13
english,1048576,2653,0,0,0,13,0,0
DNA,2097152,6176,0,1976,1,9,1,8
proteins,2097152,6217,0,129,0,8,1,1
realDNA,2097152,6654,0,2227,1,7,0,34
english,2097152,5844,0,20,0,22,1,3
DNA,4194304,15021,0,22622,29,838,38,93
proteins,4194304,13059,1,1657,1,5,45,3
realDNA,4194304,18432,65,20296,35,664,3,3391
english,4194304,14078,1,2,1,40,6,7
