data,dataLength,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA,512,1,2,0,0,0,0,0
DNA,8192,0,0,1,0,0,0,0
DNA,16384,0,0,2,0,0,0,0
DNA,262144,10,3,104,0,3,0,2
DNA,524288,10,5,396,0,6,0,6
DNA,1048576,31,10,798,0,13,0,15
proteins,1048576,19,2,49,0,6,0,2
realDNA,1048576,36,50,3394,0,61,0,93
english,1048576,26,0,29,0,29,0,26
DNA,2097152,90,22,2070,1,30,1,27
proteins,2097152,100,4,391,0,13,1,5
realDNA,2097152,89,98,20397,1,1233,0,1478
english,2097152,179,0,60,0,84,1,60
DNA,4194304,235,52,9489,19,344,4,117
proteins,4194304,122,199,10044,1,307,3,256
realDNA,4194304,313,269,74430,77,1954,96,3348
english,4194304,131,1,168,1,1246,5,166
