data,dataLength,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA,512,0,0,0,0,0,0,0
DNA,8192,0,0,1,0,0,0,0
DNA,16384,0,18,3,0,0,0,0
DNA,262144,0,1,176,0,2,0,2
DNA,524288,0,3,340,1,4,1,4
DNA,1048576,0,9,907,4,8,3,8
proteins,1048576,0,2,75,1,6,1,3
realDNA,1048576,0,7,1204,2,8,2,19
english,1048576,0,1,2,0,2,1,3
DNA,2097152,0,15,2602,1,22,1,23
proteins,2097152,0,4,123,1,14,1,5
realDNA,2097152,0,15,2602,1,25,0,52
english,2097152,0,47,12,28,22,31,59
DNA,4194304,0,32,13265,6,1158,10,669
proteins,4194304,0,37,748,3,17,35,12
realDNA,4194304,0,84,19883,20,1474,9,2182
english,4194304,0,61,138,36,44,16,400
DNA,8388608,0,101,79277,1948,4756,89,1732
