data,length,construction,query
english,256,12105,89
english,512,755,121
english,1024,670,2
english,2048,5665,3
english,4096,8475,1
english,8192,16919,1
english,16384,45646,1
english,32768,132525,1
english,65536,273334,1
english,131072,854089,0
english,262144,2880820,0
english,524288,8218912,1
english,1048576,39078611,3
proteins,256,243,0
proteins,512,268,0
proteins,1024,696,0
proteins,2048,1283,1
proteins,4096,1701,0
proteins,8192,5624,0
proteins,16384,25045,0
proteins,32768,40226,0
proteins,65536,180414,0
proteins,131072,565186,0
proteins,262144,1273034,0
proteins,524288,3009937,0
proteins,1048576,5851249,0
realDNA,256,240,0
realDNA,512,967,0
realDNA,1024,4602,0
realDNA,2048,5330,0
realDNA,4096,7947,0
realDNA,8192,22520,0
realDNA,16384,44050,0
realDNA,32768,122075,0
realDNA,65536,349673,0
realDNA,131072,900999,0
realDNA,262144,1997867,0
realDNA,524288,7587631,0
realDNA,1048576,26644362,0
DNA,256,83,1
DNA,512,500,0
DNA,1024,668,0
DNA,2048,525,0
DNA,4096,7518,0
DNA,8192,22836,0
DNA,16384,25783,0
DNA,32768,27578,0
DNA,65536,301318,0
DNA,131072,1311912,0
DNA,262144,1497161,0
DNA,524288,1802529,0
DNA,1048576,18132402,0
