data,length,construction,query
english,256,17526,55
english,512,2274,2
english,1024,4284,5
english,2048,7809,12
english,4096,13709,23
english,8192,29940,13
english,16384,65196,17
english,32768,130333,102
english,65536,245156,83
english,131072,416590,155
english,262144,1815488,703
english,524288,3155651,1216
english,1048576,6733305,3056
proteins,256,354,2
proteins,512,699,1
proteins,1024,1318,4
proteins,2048,7147,5
proteins,4096,23644,10
proteins,8192,26453,17
proteins,16384,68966,38
proteins,32768,165908,84
proteins,65536,345453,154
proteins,131072,677366,236
proteins,262144,1408318,872
proteins,524288,1945723,914
proteins,1048576,4107826,1905
realDNA,256,181,1
realDNA,512,384,4
realDNA,1024,2495,5
realDNA,2048,1739,13
realDNA,4096,8545,20
realDNA,8192,20712,52
realDNA,16384,41740,103
realDNA,32768,84931,215
realDNA,65536,267783,381
realDNA,131072,500365,790
realDNA,262144,1042710,2510
realDNA,524288,2014843,3350
realDNA,1048576,4303170,6790
DNA,256,149,0
DNA,512,518,2
DNA,1024,698,3
DNA,2048,1794,7
DNA,4096,9279,19
DNA,8192,15083,49
DNA,16384,28341,108
DNA,32768,89205,202
DNA,65536,241504,413
DNA,131072,461600,750
DNA,262144,943348,1546
DNA,524288,2017252,3254
DNA,1048576,4305508,6666
