data,length,construction,query
english,256,228,175
english,512,1,7
english,1024,2,15
english,2048,4,27
english,4096,1,15
english,8192,1,27
english,16384,0,40
english,32768,8,271
english,65536,2,180
english,131072,2,291
english,262144,3,2983
english,524288,2,2914
english,1048576,3,4872
proteins,256,8,3
proteins,512,6,4
proteins,1024,2,10
proteins,2048,2,11
proteins,4096,2,22
proteins,8192,2,44
proteins,16384,2,89
proteins,32768,3,287
proteins,65536,2,417
proteins,131072,2,660
proteins,262144,1,1361
proteins,524288,1,1526
proteins,1048576,2,4231
realDNA,256,1,3
realDNA,512,1,7
realDNA,1024,1,13
realDNA,2048,1,23
realDNA,4096,1,47
realDNA,8192,1,98
realDNA,16384,1,223
realDNA,32768,2,514
realDNA,65536,1,717
realDNA,131072,2,1772
realDNA,262144,9,3256
realDNA,524288,0,7173
realDNA,1048576,1,15005
DNA,256,0,4
DNA,512,1,9
DNA,1024,0,10
DNA,2048,0,22
DNA,4096,0,43
DNA,8192,0,137
DNA,16384,1,219
DNA,32768,1,389
DNA,65536,1,819
DNA,131072,0,1254
DNA,262144,0,3417
DNA,524288,1,6856
DNA,1048576,0,11747
