data,length,construction,query
english,256,143,223
english,512,0,4
english,1024,0,38
english,2048,2,34
english,4096,1,957
english,8192,0,40
english,16384,0,82
english,32768,0,260
english,65536,1,274
english,131072,0,362
english,262144,1,2326
english,524288,1,4716
english,1048576,1,12876
proteins,256,2,5
proteins,512,0,4
proteins,1024,1,5
proteins,2048,1,12
proteins,4096,0,34
proteins,8192,1,56
proteins,16384,1,1860
proteins,32768,6,291
proteins,65536,1,650
proteins,131072,1,879
proteins,262144,1,2555
proteins,524288,0,5550
proteins,1048576,1,5074
realDNA,256,1,4
realDNA,512,0,8
realDNA,1024,0,14
realDNA,2048,0,24
realDNA,4096,0,62
realDNA,8192,0,119
realDNA,16384,0,215
realDNA,32768,0,427
realDNA,65536,1,1153
realDNA,131072,0,2344
realDNA,262144,5,4462
realDNA,524288,0,8213
realDNA,1048576,0,15708
DNA,256,0,2
DNA,512,0,10
DNA,1024,0,10
DNA,2048,0,24
DNA,4096,0,50
DNA,8192,0,106
DNA,16384,0,890
DNA,32768,0,409
DNA,65536,0,805
DNA,131072,0,1473
DNA,262144,0,7400
DNA,524288,0,6940
DNA,1048576,0,16174
