data,length,construction,query
english,256,1656,82
english,512,4085,23
english,1024,282,43
english,2048,594,41
english,4096,617,58
english,8192,1179,266
english,16384,2097,344
english,32768,18696,468
english,65536,8180,1214
english,131072,43738,1937
english,262144,53742,5807
english,524288,70447,11476
english,1048576,172072,24439
proteins,256,66,4
proteins,512,116,8
proteins,1024,270,23
proteins,2048,316,50
proteins,4096,574,126
proteins,8192,924,224
proteins,16384,1938,550
proteins,32768,3564,1552
proteins,65536,7800,4216
proteins,131072,17336,4224
proteins,262144,21876,4394
proteins,524288,39243,7525
proteins,1048576,88525,17166
realDNA,256,78,18
realDNA,512,118,45
realDNA,1024,227,79
realDNA,2048,277,136
realDNA,4096,515,289
realDNA,8192,1193,1101
realDNA,16384,2376,1349
realDNA,32768,4036,2478
realDNA,65536,10595,4519
realDNA,131072,17230,10692
realDNA,262144,35959,21277
realDNA,524288,69635,46586
realDNA,1048576,160531,96028
DNA,256,51,8
DNA,512,79,22
DNA,1024,129,102
DNA,2048,210,118
DNA,4096,474,1652
DNA,8192,1012,1098
DNA,16384,1951,2589
DNA,32768,3386,2794
DNA,65536,8620,4417
DNA,131072,15490,8518
DNA,262144,31808,19596
DNA,524288,59414,43912
DNA,1048576,144027,91525
