data,length,construction,query
english,256,7354,140
english,512,393,16
english,1024,389,32
english,2048,425,49
english,4096,462,58
english,8192,1606,280
english,16384,1140,800
english,32768,1552,1066
english,65536,2581,4770
english,131072,5132,2295
english,262144,13464,6352
english,524288,22084,12982
english,1048576,54035,114411
proteins,256,219,4
proteins,512,134,7
proteins,1024,317,17
proteins,2048,236,64
proteins,4096,220,98
proteins,8192,290,147
proteins,16384,667,562
proteins,32768,691,726
proteins,65536,2026,1709
proteins,131072,3685,2994
proteins,262144,5964,4909
proteins,524288,11710,9305
proteins,1048576,24600,20876
realDNA,256,94,13
realDNA,512,119,75
realDNA,1024,153,189
realDNA,2048,181,603
realDNA,4096,511,396
realDNA,8192,407,906
realDNA,16384,5465,1329
realDNA,32768,1456,2581
realDNA,65536,2894,5688
realDNA,131072,5415,22745
realDNA,262144,8940,32070
realDNA,524288,19376,56957
realDNA,1048576,116822,225625
DNA,256,61,10
DNA,512,127,38
DNA,1024,112,59
DNA,2048,118,330
DNA,4096,237,280
DNA,8192,393,677
DNA,16384,692,1441
DNA,32768,1034,2562
DNA,65536,3031,5056
DNA,131072,6335,9839
DNA,262144,11983,49892
DNA,524288,12134,48018
DNA,1048576,35011,100858
