data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,8000500,33812,1260,2572,144,68,68
realDNA,256,168100,852,320,840,176,52,112
DNA,256,121300,508,572,684,104,84,44
proteins,256,169100,848,364,640,140,76,44
english,512,307700,1220,832,684,196,48,92
DNA,512,396100,2188,696,1204,200,68,68
realDNA,512,315900,1656,924,808,168,64,88
proteins,512,260000,964,744,732,116,32,52
DNA,1024,577900,2456,1564,2432,244,76,220
english,1024,864300,2596,1824,2000,236,120,64
realDNA,1024,748700,3296,980,1792,324,64,40
proteins,1024,558100,1676,1192,1432,136,136,60
english,2048,1068600,4636,1592,2148,308,84,52
DNA,2048,1644300,7568,3756,4840,428,60,48
realDNA,2048,1249100,5452,2076,2668,528,44,48
proteins,2048,1359800,1996,1240,1776,148,68,40
english,4096,2574800,10788,4180,4408,628,100,220
DNA,4096,5757700,17536,30944,18916,1356,208,1372
realDNA,4096,3656000,9340,3884,6800,736,60,76
proteins,4096,3336900,5284,3148,10876,304,200,48
english,8192,4787700,17084,10664,8336,1060,228,296
realDNA,8192,8264100,35152,48020,129608,1992,1628,108
DNA,8192,4469800,16356,6360,30968,1804,120,40
proteins,8192,16329400,10092,17748,14980,500,88,88
proteins,16384,27767400,21564,10552,119944,130820,120,48
realDNA,16384,9568900,29628,41256,15484,2212,120,84
DNA,16384,14525300,37828,66024,99776,3268,308,256
english,16384,15088100,44072,50796,112800,57336,576,704
DNA,32768,18997800,197880,32860,226528,4624,1028,108
english,32768,18485000,81776,45444,43184,5144,148,312
realDNA,32768,21711700,91464,53512,32748,4172,104,156
proteins,32768,65002000,34768,16564,18272,1168,88,68
english,65536,33256800,166572,90640,280928,3872,4784,684
realDNA,65536,40211900,187160,281392,189448,7396,280,232
DNA,65536,75797400,289088,129640,253860,12048,896,232
proteins,65536,288877000,134196,122832,184232,4384,3364,144
DNA,131072,188863000,465896,272144,1082356,149124,564,404
proteins,131072,1274811600,268868,121580,2031152,8040,356,352
realDNA,131072,182109700,1206800,720836,1537024,192920,9456,650504
english,131072,173711300,463448,371480,1930072,16640,500,63304
proteins,262144,3268955800,1239100,2301716,3479208,16468,1856,472
realDNA,262144,394880400,1500832,1259528,1542476,190980,17204,1968
DNA,262144,361573200,1427828,2079204,1508656,66840,2240,612
english,262144,473251200,1641084,1148984,2237068,141064,3040,2968
proteins,524288,5768990100,2286472,1603104,7234972,156508,13668,788
realDNA,524288,851565500,39094824,3397720,2364888,121364,2896,3368
DNA,524288,787590900,2958348,2424328,21255100,112688,8432,1148
english,524288,715251700,4526500,5253920,8678288,350640,30028,4664
proteins,1048576,8403327700,4514332,134234484,8993524,235484,5516,1028
realDNA,1048576,1780090300,5490480,85678796,5534248,1240436,2844,917348
DNA,1048576,1640357500,5759352,2452352,37867808,280716,2972,3392
english,1048576,1604664300,6943960,1691868,39431720,1324,2064,1456
proteins,2097152,22030940600,5822696,14833972,84637532,269944,19232,1172
realDNA,2097152,3744124100,11150488,5915648,5426336,2143128,3696,14148
DNA,2097152,3527693100,7990872,3223336,73636992,1245000,3948,4120
english,2097152,3255766700,13014236,133427888,26896764,1648,3292,1888
proteins,4194304,32496539300,13745308,381093780,201744048,456704,9152,1780
DNA,4194304,15090099900,18936560,23932632,37233704,2789148,19864,27108
realDNA,4194304,8079663100,336211456,38385736,36844920,4000576,6808,87700
english,4194304,136989880500,53545440,316843596,60788608,1900,5064,1816
proteins,8388608,64982790000,1454990196,654446376,655238200,1639384,6664,2716
