data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,9095800,28,36,12,353872,29696,3724
realDNA,256,625200,181984,28,32,374420,19800,110644
DNA,256,341800,40,44,32,183096,214072,4096
proteins,256,328400,24,32,12,23244,16148,4392
english,512,635200,32,20,44,181196,27616,11776
DNA,512,650400,52,32,12,208768,60968,7164
realDNA,512,1097500,32,40,24,333556,167252,2308
proteins,512,814200,28,48,20,39052,34596,3784
DNA,1024,1293600,40,32,36,596500,96928,448160
english,1024,1462300,28,32,32,368884,81824,2180
realDNA,1024,1508100,44,28,20,1234916,43696,2212
proteins,1024,1420600,28,40,24,208100,51004,3780
english,2048,3268400,24,20,28,1123880,47252,71748
DNA,2048,3832900,44,20,28,1824636,44116,2852
realDNA,2048,6253000,48,40,24,2111380,59556,4352
proteins,2048,4488500,28,28,16,436092,124120,13384
english,4096,9733700,40,36,24,3151444,73648,566400
DNA,4096,6400300,40,36,36,3297536,79064,1699784
realDNA,4096,12860500,48,32,24,3815492,86508,14536
proteins,4096,7143500,20,28,20,658224,589224,1200
english,8192,22729000,20,28,24,3278048,171024,380056
realDNA,8192,17651400,32,24,24,5871272,4545208,112796
DNA,8192,23234600,16,16,24,3850984,123540,2864
proteins,8192,16986600,20,28,36,2512792,44696,1116
proteins,16384,30659900,4,20,16,2919140,394768,1260
realDNA,16384,33203700,24,8,16,8804016,343728,171856
DNA,16384,37685500,32,28,28,10683248,491156,19308
english,16384,60696000,36,36,32,7220060,479164,780592
DNA,32768,129838000,40,40,20,19156648,4369044,20596
english,32768,75536800,32,24,16,10583116,112316,561836
realDNA,32768,132815600,32,20,32,14476680,168780,253632
proteins,32768,114703400,32,16,20,3940216,99060,2424
english,65536,217505600,24,32,24,19085856,4261860,757028
realDNA,65536,187955200,40,12,20,28227052,254932,353432
DNA,65536,258872500,80,40,64,51943436,524956,154300
proteins,65536,383549200,52,76,40,20032892,11425756,17448
DNA,131072,1202961900,76,56,40,115770524,1016624,208944
proteins,131072,976149800,76,48,44,30198172,554180,51496
realDNA,131072,1122056100,108,92,48,141943700,31512820,1516400
english,131072,864806500,84,64,52,75057600,737804,2475256
proteins,262144,2102740500,64,72,48,56578248,1415412,75976
realDNA,262144,2201907100,96,72,48,277233276,15535808,2486604
DNA,262144,2402350400,100,56,52,258482828,2322540,426576
english,262144,1988372900,88,72,76,140126796,6687808,6542100
proteins,524288,4411608200,92,48,64,108895348,4657436,96840
realDNA,524288,5450413700,76,48,64,551531336,2102272,7382988
DNA,524288,5493581900,104,72,36,554032524,23302624,971564
english,524288,3906715500,60,88,60,240752256,63848204,5413204
proteins,1048576,9625272200,92,60,48,220551860,14843568,610528
realDNA,1048576,10154533200,76,32,40,1280524248,2480656,16429180
DNA,1048576,10097042800,88,56,56,1220772232,2439164,2160312
english,1048576,9435814200,52,64,68,2130572,3559456,780344
proteins,2097152,18985708100,112,52,32,495267824,7066596,622412
realDNA,2097152,23417895200,68,64,88,2923770388,4028224,39060696
DNA,2097152,23826299200,76,68,60,2406161800,8879904,8984200
english,2097152,19586518300,60,48,36,6168516,2446712,560456
proteins,4194304,40185207400,52,56,28,1064328048,12688428,605496
DNA,4194304,45612342400,80,56,52,5567128104,57486676,11209856
realDNA,4194304,62342965600,84,44,56,6306545152,11412444,92850864
english,4194304,40611195000,76,48,52,2375812,6273716,582384
proteins,8388608,152900455400,60,76,64,4707777360,30191752,1108620
