data,length,construction,top,mid,bot,topCount,midCount,botCount
english,256,218,38,0,17,34,16,3
realDNA,256,128,0,0,0,79,13,79
DNA,256,104,0,0,0,47,47,2
proteins,256,111,0,0,0,18,23,3
english,512,278,0,0,0,75,48,9
DNA,512,219,0,0,0,101,14,3
realDNA,512,918,0,0,0,174,17,2
proteins,512,210,0,0,0,30,45,3
DNA,1024,1609,0,0,0,248,52,248
english,1024,478,0,0,0,151,47,2
realDNA,1024,494,0,0,0,348,19,2
proteins,1024,371,0,0,0,78,41,3
english,2048,1124,0,0,0,396,36,41
DNA,2048,1136,0,0,0,505,34,3
realDNA,2048,964,0,0,0,623,34,4
proteins,2048,1059,0,0,0,168,65,11
english,4096,3716,0,0,0,959,89,291
DNA,4096,2803,0,0,0,1059,47,1059
realDNA,4096,805,0,0,0,1173,182,15
proteins,4096,893,0,0,0,333,251,2
english,8192,1465,0,0,0,1563,96,291
realDNA,8192,1576,0,0,0,2417,115,33
DNA,8192,1496,0,0,0,2106,131,5
proteins,8192,2120,0,0,0,746,139,2
proteins,16384,4723,0,0,0,1453,170,2
realDNA,16384,3409,1,0,0,4203,82,122
DNA,16384,3096,1,0,0,4062,260,13
english,16384,2973,1,0,0,2800,122,367
DNA,32768,6465,2,0,0,8088,124,27
english,32768,6074,32,0,0,5104,235,447
realDNA,32768,6877,2,0,0,8208,169,200
proteins,32768,10747,0,0,0,2688,129,5
english,65536,13364,32,0,0,9898,193,600
realDNA,65536,14155,4,0,0,16322,976,295
DNA,65536,17929,4,1,0,16127,4062,62
proteins,65536,21172,1,0,0,5050,342,11
DNA,131072,28558,39,0,0,32264,503,114
proteins,131072,63650,2,0,0,9131,572,27
realDNA,131072,29826,11,0,0,34701,266,625
english,131072,50151,5,0,0,19369,245,724
proteins,262144,151629,6,0,0,17971,1034,43
realDNA,262144,63237,34,0,0,65543,439,967
DNA,262144,62024,94,0,0,64366,981,213
english,262144,101127,13,0,0,38742,794,914
proteins,524288,291442,60,1,0,35241,892,57
realDNA,524288,136584,68,0,0,136212,453,2037
DNA,524288,189398,57,11,0,128731,32043,449
english,524288,198395,33,1,0,77723,530,1493
proteins,1048576,498590,62,1,0,71493,1777,131
realDNA,1048576,431036,82,0,1,273144,1348,5128
DNA,1048576,271552,128,0,0,257531,973,963
english,1048576,258476,0,0,0,286,694,286
proteins,2097152,1155347,187,162,0,143292,110055,226
realDNA,2097152,621882,540,0,3,556399,986,11134
DNA,2097152,604295,109,1,0,516002,1911,1972
english,2097152,611161,0,1,0,286,1446,286
proteins,4194304,2118976,112306,1,0,275235,1620,320
DNA,4194304,1331516,328,25,1,1031616,15950,3994
realDNA,4194304,1446704,244,10,8,1116336,22105,24047
english,4194304,5212375,0,3,0,286,3230,286
proteins,8388608,4735640,613,2,0,569688,2670,499
DNA,8388608,4776159,800,1,27,2064212,2027,8119
realDNA,8388608,3384457,1252,1,58,2373837,1886,49991
english,8388608,15153161,0,3,0,286,3909,286
proteins,16777216,11437887,1208,1,0,1147104,2424,905
DNA,16777216,7114499,4995,353,7,4127498,257979,16244
realDNA,16777216,8095838,8502,83,205,4759900,41175,103453
english,16777216,39751030,38,6,0,286,3675,286
