data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,12,0,0,0,0,0,0
DNA_524288,0,0,3,28,0,0,0,0,0,0
DNA_1048576,0,0,6,15,0,0,0,2,2,2
proteins_1048576,0,0,2,3,0,0,0,0,0,0
realDNA_1048576,0,0,8,57,0,0,0,1,1,1
english_1048576,0,0,1,3,0,0,0,1,1,1
DNA_2097152,0,0,22,137,1,1,1,2,2,2
proteins_2097152,0,4,8,11,2,2,2,9,9,9
realDNA_2097152,0,0,23,142,1,1,1,3,3,3
english_2097152,0,2,361,7,1,1,1,3,3,3
DNA_4194304,0,2,35,71,10,10,10,27,27,27
proteins_4194304,0,2,8,16,1,1,1,14,14,14
realDNA_4194304,0,0,91,329,45,45,45,12,12,12
english_4194304,0,1,12,16,3,3,3,16,16,16
DNA_8388608,0,9,158,239,9,9,9,19,19,19
proteins_8388608,0,7,60,151,37,37,37,64,64,64
realDNA_8388608,0,5,136,170,7,7,7,232,232,232
english_8388608,0,7,33,36,6,6,6,11,11,11
DNA_16777216,0,5,570,1728,172,172,172,273,273,273
proteins_16777216,0,6,46,63,54,54,54,269,269,269
