data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,2,0,0,0,0,0,0
DNA_524288,0,0,2,6,0,0,0,3,3,3
DNA_1048576,0,0,5,13,0,0,0,7,7,7
proteins_1048576,0,0,2,3,0,0,0,1,1,1
realDNA_1048576,0,0,8,13,0,0,0,2,2,2
english_1048576,0,0,11,3,0,0,0,0,0,0
DNA_2097152,0,3,17,30,4,4,4,12,12,12
proteins_2097152,0,1,7,9,3,3,3,1,1,1
realDNA_2097152,0,0,18,29,4,4,4,13,13,13
english_2097152,0,6,10,12,4,4,4,7,7,7
DNA_4194304,0,1,44,54,1,1,1,7,7,7
proteins_4194304,0,1,11,16,1,1,1,11,11,11
realDNA_4194304,0,7,69,89,14,14,14,93,93,93
english_4194304,0,1,7,13,9,9,9,56,56,56
DNA_8388608,0,5,128,117,6,6,6,17,17,17
proteins_8388608,0,2,16,30,6,6,6,15,15,15
realDNA_8388608,0,5,150,133,5,5,5,15,15,15
english_8388608,0,5,25,33,5,5,5,43,43,43
DNA_16777216,0,105,519,365,7921,7921,7921,359,359,359
proteins_16777216,0,28,143,120,85,85,85,447,447,447
