data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,4,0,0,0,0,0,0
DNA_16384,0,0,1,10,0,0,0,0,0,0
DNA_262144,0,0,2,261,0,0,0,0,0,0
DNA_524288,0,0,9,751,0,0,0,1,1,1
DNA_1048576,0,0,7,212,1,1,1,5,5,5
proteins_1048576,0,0,3,151,0,0,0,1,1,1
realDNA_1048576,0,0,12,2258,0,0,0,2,2,2
english_1048576,0,2,5,14,3,3,3,6,6,6
DNA_2097152,0,2,24,529,5,5,5,4,4,4
proteins_2097152,0,1,7,415,1,1,1,1,1,1
realDNA_2097152,0,1,29,13494,2,2,2,2,2,2
english_2097152,0,2,5,34,1,1,1,2,2,2
DNA_4194304,0,3,110,53301,3,3,3,5,5,5
proteins_4194304,0,3,9,68,2,2,2,5,5,5
realDNA_4194304,0,4,95,55540,2,2,2,9,9,9
english_4194304,0,5,11,86,3,3,3,9,9,9
DNA_8388608,0,17,470,188577,161,161,161,200,200,200
proteins_8388608,0,4,48,5080,5,5,5,32,32,32
realDNA_8388608,0,42,158,6088,13,13,13,9,9,9
english_8388608,0,7,23,195,5,5,5,14,14,14
DNA_16777216,0,6,461,156753,627,627,627,656,656,656
proteins_16777216,0,18,66,703,134,134,134,7792,7792,7792
