data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,1,0,0,1,0,0,0,0,0,0
DNA_262144,40,1,1,91,0,0,0,0,0,0
DNA_524288,60,4,3,249,0,0,0,2,2,2
DNA_1048576,143,1,12,84,3,3,3,7,7,7
proteins_1048576,59,2,2,59,0,0,0,1,1,1
realDNA_1048576,153,17,10,694,2,2,2,6,6,6
english_1048576,107,0,1,2,0,0,0,1,1,1
DNA_2097152,366,5,18,375,1,1,1,2,2,2
proteins_2097152,133,4,5,159,0,0,0,1,1,1
realDNA_2097152,422,31,21,7313,334,334,334,4,4,4
english_2097152,259,0,2,4,0,0,0,2,2,2
DNA_4194304,1097,49,100,8505,4,4,4,7,7,7
proteins_4194304,635,1,8,10,1,1,1,13,13,13
realDNA_4194304,729,27,51,39192,239,239,239,1010,1010,1010
english_4194304,686,3,7,15,0,0,0,8,8,8
DNA_8388608,2020,99,359,64009,344,344,344,1004,1004,1004
proteins_8388608,1755,29,43,1291,2,2,2,11,11,11
realDNA_8388608,1985,3,180,1172,3,3,3,39,39,39
english_8388608,1594,7,18,27,5,5,5,14,14,14
DNA_16777216,5006,823,793,-1,4105,4105,4105,5357,5357,5357
proteins_16777216,4574,59,129,147,161,161,161,831,831,831
