data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,339000,49900,23100,1060,200,100,10
realDNA,256,181300,380,1040,1010,160,50,50
DNA,256,112600,430,830,1030,150,30,50
proteins,256,184300,500,2030,5070,280,130,390
english,512,259000,280,510,320,100,70,30
DNA,512,194800,180,320,540,60,50,30
realDNA,512,1533300,300,490,370,120,20,40
proteins,512,218700,120,340,400,90,1530,50
DNA,1024,2132800,280,470,690,110,40,10
english,1024,335000,130,980,1190,60,30,20
realDNA,1024,353900,180,450,420,200,30,40
proteins,1024,482600,960,1150,970,90,20,30
english,2048,598400,120,820,600,80,50,30
DNA,2048,1015400,220,1000,1240,230,70,30
realDNA,2048,578200,150,910,1260,180,70,40
proteins,2048,596200,140,1400,730,110,30,40
english,4096,5114300,160,1720,3130,190,100,50
DNA,4096,1842100,210,1570,2530,260,50,40
realDNA,4096,1276400,160,2750,2320,230,40,70
proteins,4096,1466900,160,2200,1580,190,60,30
english,8192,2563700,300,13220,7900,400,40,30
realDNA,8192,3025900,330,4560,5120,480,70,60
DNA,8192,2668000,200,2280,4020,510,90,50
proteins,8192,3527300,170,41190,5750,190,160,40
proteins,16384,7316900,160,9920,12470,490,50,40
realDNA,16384,4755200,230,3670,4590,690,50,70
DNA,16384,4482200,290,1940,10800,700,30,20
english,16384,5035900,180,9460,12940,350,50,50
DNA,32768,9353800,290,13670,18630,1100,50,20
english,32768,8867600,190,11510,8020,310,60,40
realDNA,32768,10977800,390,15520,10690,1350,30,70
proteins,32768,18046500,190,9350,8890,1080,40,40
english,65536,2231967200,150,16570,47830,620,110,80
realDNA,65536,19982800,220,9980,28570,2410,50,40
DNA,65536,20698300,250,17910,26460,2310,20,40
proteins,65536,37118800,250,19000,20460,2280,60,60
DNA,131072,42410500,680,83490,101590,10170,90,50
proteins,131072,100420200,380,47350,104900,1820,80,70
realDNA,131072,42602900,420,59350,41390,5210,80,40
english,131072,39443900,200,33540,47750,1830,50,70
proteins,262144,240244200,270,122860,34840,7100,90,60
realDNA,262144,89031800,320,107550,75410,13880,70,50
DNA,262144,87748800,530,114490,162960,18190,100,50
english,262144,81720900,250,168740,148280,1060,70,50
proteins,524288,458880900,670,226240,144010,13260,70,60
realDNA,524288,187316900,48710,215250,54170,23870,90,20
DNA,524288,178199500,710,112910,225520,19980,90,60
english,524288,169064300,340,113760,110250,210,100,70
proteins,1048576,755563100,770,421020,156370,23890,110,40
realDNA,1048576,382896600,117600,564410,98880,54270,130,110
DNA,1048576,374321000,970,216300,330800,43020,110,120
english,1048576,374290400,500,252360,27790,1680,140,550
proteins,2097152,1805715400,1130,1014630,1655310,54320,230,300
realDNA,2097152,861709900,1080,637950,127190,116850,160,320
DNA,2097152,824596200,1010,775440,848410,118720,160,80
english,2097152,807668400,610,1826930,218630,2990,240,80
proteins,4194304,10316712800,1650,2370680,2488350,85410,530,240
DNA,4194304,5066874300,1000,976570,1729180,174150,140,240
realDNA,4194304,1953434400,1250,2604590,960,87400,250,50
english,4194304,14378385700,980,1650640,700,7080,210,60
proteins,8388608,7555823800,1960,26231080,17551120,6386380,580,470
