data,length,construction,dptop,dpmid,dpbot
english,256,219800,21820,3070,1930
realDNA,256,1400,3570,1810,1210
DNA,256,2900,7980,4880,3520
proteins,256,1800,6040,3120,2560
english,512,2400,4920,2500,1540
DNA,512,2800,6090,4010,2350
realDNA,512,2800,7740,2860,4110
proteins,512,1400,1960,1470,1570
DNA,1024,10200,15390,6150,9370
english,1024,12000,8150,3720,2080
realDNA,1024,4100,4980,4340,3290
proteins,1024,6700,13230,7980,4480
english,2048,5800,13790,7910,7960
DNA,2048,2400,12100,4530,7490
realDNA,2048,2800,11080,7270,5990
proteins,2048,4500,8290,5780,4470
english,4096,2200,5510,12280,10930
DNA,4096,2400,9510,9110,9740
realDNA,4096,2200,14020,11900,13430
proteins,4096,3400,16740,12020,12060
english,8192,5700,5460,13760,8950
realDNA,8192,1700,20760,15370,19330
DNA,8192,2700,64460,40650,33080
proteins,8192,1300,10120,9800,8850
proteins,16384,2700,98830,94460,87310
realDNA,16384,2800,91160,49760,46070
DNA,16384,10500,113480,144370,137740
english,16384,1600,48690,30020,17570
DNA,32768,2600,92040,65190,85450
english,32768,3700,108800,127560,125590
realDNA,32768,21200,234880,129970,189570
proteins,32768,800,66330,46760,34220
english,65536,1700,76100,122300,127510
realDNA,65536,1100,194160,222370,121690
DNA,65536,1400,260610,208100,212820
proteins,65536,1400,236470,419980,159040
DNA,131072,700,694270,188410,401540
proteins,131072,1600,658100,450530,504490
realDNA,131072,1300,1175860,793130,994090
english,131072,1100,14350,181180,290170
proteins,262144,1300,1262520,811340,503400
realDNA,262144,1200,1405290,1386050,1981950
DNA,262144,1300,1805020,706470,2212940
english,262144,2200,90590,591800,547500
proteins,524288,4600,2308420,1165060,1476680
realDNA,524288,2700,5323790,4305140,2159690
DNA,524288,800,2273350,2590250,3362280
english,524288,1200,277140,558500,636010
proteins,1048576,1300,7226520,2818810,3319940
realDNA,1048576,1700,13431590,10907200,5545300
DNA,1048576,1200,8760670,9484230,5685440
english,1048576,1600,372770,1049540,710240
proteins,2097152,1900,3886300,2962010,5382230
realDNA,2097152,1700,16362010,16619350,9860140
DNA,2097152,1300,8470530,9497970,9029150
english,2097152,1300,140700,1307250,344540
proteins,4194304,1500,18928570,13843200,19188220
DNA,4194304,1000,26633810,18051470,13965440
realDNA,4194304,1100,59962540,35366150,31370590
english,4194304,1700,2957860,4529460,11464610
