data,length,construction,dptop,dpmid,dpbot
english,256,182700,17230,2400,2320
realDNA,256,1500,5950,4910,2920
DNA,256,2700,8330,8120,10030
proteins,256,1400,3190,2780,2880
english,512,2400,3970,1950,1680
DNA,512,2600,8660,11050,9960
realDNA,512,1900,7730,8850,7210
proteins,512,6300,7800,4050,3280
DNA,1024,2500,9840,9860,9220
english,1024,4000,5830,5310,4650
realDNA,1024,1600,15350,13550,10590
proteins,1024,2100,7100,14560,9740
english,2048,4800,10730,9730,5950
DNA,2048,2000,18170,19790,28980
realDNA,2048,2000,21440,18680,19540
proteins,2048,3200,9720,10410,17060
english,4096,1600,8070,9770,6770
DNA,4096,1700,35630,42380,43370
realDNA,4096,1000,27100,26800,25430
proteins,4096,1500,18440,21490,19250
english,8192,2000,11990,17610,16020
realDNA,8192,1500,87980,90240,215280
DNA,8192,1700,48170,45690,47160
proteins,8192,1800,24250,33560,32720
proteins,16384,1700,32550,38950,39670
realDNA,16384,1700,223610,85600,84850
DNA,16384,2000,121370,94590,101490
english,16384,1900,53800,52500,68840
DNA,32768,1300,190530,172460,177320
english,32768,1700,44350,52640,47070
realDNA,32768,1300,201600,210750,233420
proteins,32768,1500,104850,65190,73110
english,65536,11200,84080,100470,134480
realDNA,65536,800,384930,595390,444000
DNA,65536,600,309200,362390,495460
proteins,65536,700,106240,138240,188320
DNA,131072,700,950430,1024150,998420
proteins,131072,600,233590,267960,349990
realDNA,131072,900,712570,764720,737510
english,131072,700,165980,225340,221010
proteins,262144,700,541080,709680,546470
realDNA,262144,1000,1365520,1544200,1430690
DNA,262144,700,1356550,1449860,1699200
english,262144,1000,365490,615840,605140
proteins,524288,2500,871960,1125670,1021400
realDNA,524288,700,3555150,3335090,4197620
DNA,524288,700,2969950,3166670,3300350
english,524288,800,663840,768650,899360
proteins,1048576,800,2325080,2855150,2417050
realDNA,1048576,1000,7255350,7054740,6570980
DNA,1048576,1700,6553760,6409820,6538370
english,1048576,1000,1541310,1800890,132453980
proteins,2097152,600,5010800,6054180,6850050
realDNA,2097152,700,20332120,20526380,21254920
DNA,2097152,800,16363770,15255650,16439820
english,2097152,1200,4283520,5921290,4325360
proteins,4194304,1300,7355430,8837870,9383580
DNA,4194304,1000,50068760,47822350,52918400
realDNA,4194304,1300,55894930,59270130,57046140
english,4194304,1000,12572350,14957150,12498080
proteins,8388608,800,53641220,373020590,151766350
