data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2472400,13530,1460,1420,24780,1790,1660
realDNA,256,1371200,930,2350,1910,5410,4090,8650
DNA,256,981600,800,600,430,2890,2100,1350
proteins,256,1188900,2350,870,800,4400,2300,1520
english,512,1445100,480,1440,480,1690,1040,1830
DNA,512,931400,1890,750,1440,2080,1040,880
realDNA,512,28206900,460,540,420,2010,790,630
proteins,512,880200,570,1390,670,1870,1960,1500
DNA,1024,1103400,480,1050,910,2660,1260,1270
english,1024,1162400,380,990,700,1130,1090,770
realDNA,1024,1460000,870,1490,680,2050,1980,1240
proteins,1024,2637400,1160,4310,1240,5160,17140,8610
english,2048,8517500,850,2790,1610,3550,3030,3870
DNA,2048,4217900,1240,3170,3520,10150,3860,5150
realDNA,2048,7857700,1210,3220,2970,11930,3810,4130
proteins,2048,2973700300,880,3220,2190,5410,3230,2610
english,4096,6277400,1960,9510,7720,3400,5620,5900
DNA,4096,12997200,1190,6130,8640,11670,6350,6460
realDNA,4096,14124100,1270,3190,9230,9880,3950,9580
proteins,4096,12097600,2180,12190,2730,8080,6000,2920
english,8192,21536100,380,3890,5440,1300,3590,6300
realDNA,8192,31047600,760,3810,1940,12970,3250,2130
DNA,8192,26143700,740,4480,4110,13360,4090,4090
proteins,8192,25605600,1160,9480,8960,10710,10970,9290
proteins,16384,39395700,1220,34560,23670,52430,4654120,17740
realDNA,16384,98147300,1340,11780,11380,54140,11070,11660
DNA,16384,95118300,1090,19620,17420,69590,20400,18010
english,16384,45829400,860,20840,15100,21530,18740,16640
DNA,32768,256532000,1310,26620,30930,44660,23950,31550
english,32768,155003800,970,13580,17080,39020,14600,14200
realDNA,32768,209622900,1280,26870,8440,107330,24420,10710
proteins,32768,220369900,1400,33440,9520,57950,30810,10120
english,65536,403718800,1240,88760,101750,42780,85330,104370
realDNA,65536,447685100,1470,53990,31810,282420,54200,26380
DNA,65536,465388900,1350,85810,60220,146660,84950,61710
proteins,65536,455280900,1380,138880,40750,149500,134740,34670
DNA,131072,6270962800,1470,71330,170270,1874820,72840,183810
proteins,131072,783023700,1350,144910,101290,283130,140210,102990
realDNA,131072,767125800,1680,145700,92390,553190,119390,93680
english,131072,782037400,1220,170670,250760,12850,177580,256530
proteins,262144,1781970200,1480,216340,148840,565510,218030,155690
realDNA,262144,1741773400,1520,203630,96690,3096280,205170,100790
DNA,262144,1774405400,1760,100420,675470,1191700,92390,683960
english,262144,1752523000,1170,687590,637630,38490,680160,643470
proteins,524288,3523676800,3940,244660,721920,662210,246400,720440
realDNA,524288,3724186600,1770,497640,205020,2982630,531870,195980
DNA,524288,3852469900,1860,549500,759330,3010620,495110,743300
english,524288,3559603600,1460,349920,411520,373470,345420,404060
proteins,1048576,7835734400,1650,951330,616680,3155680,1016970,614290
realDNA,1048576,8648714200,2000,1094590,16070,5929700,1412730,37860
DNA,1048576,7845150300,1880,899190,579740,7132460,439230,270500
english,1048576,7897264100,1720,1081590,310670,166190,1058910,303320
proteins,2097152,20406887900,5550,2670840,1531700,1068270,2169360,1421820
realDNA,2097152,17880619800,5760,3365420,559490,10456270,3142860,540030
DNA,2097152,16831974300,2360,4712190,4922470,7121680,4486530,5123510
english,2097152,15350172200,1470,2395100,755340,62400,2383460,695580
proteins,4194304,62820083900,251730,5318300,8029110,9273170,4161050,7422190
DNA,4194304,64073408700,526760,6812100,17839190,45024730,3673090,17022890
realDNA,4194304,67191952300,406590,3395590,2210,29180680,4149030,838760
english,4194304,47849014600,5340,3459870,2470,3746010,3132900,74870
