data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2821400,24010,1670,1510,18650,1970,2010
realDNA,256,213900,1990,3520,3100,5370,7310,4300
DNA,256,168100,1740,2060,1150,4370,2110,3410
proteins,256,154700,1610,1560,1480,3860,4780,2310
english,512,141500,1360,1010,1630,2580,790,1400
DNA,512,151500,600,1440,760,3220,970,1450
realDNA,512,112400,450,940,760,2210,990,1030
proteins,512,125400,1120,2250,1740,2710,2550,3720
DNA,1024,141400,550,1060,1080,2020,990,1230
english,1024,164300,1520,3600,1580,1780,2730,2500
realDNA,1024,185400,800,2410,680,1660,1540,820
proteins,1024,268800,1510,4480,2500,4500,4250,3890
english,2048,221100,1110,2650,1900,3260,3250,2540
DNA,2048,268800,2190,5140,5120,5930,2880,4570
realDNA,2048,296400,450,1600,2300,4980,1770,1720
proteins,2048,271900,660,3190,2290,4060,3010,2540
english,4096,18793100,2240,8050,6870,5760,9360,9130
DNA,4096,388900,700,2950,2980,4560,3590,3800
realDNA,4096,791200,3820,9490,13890,10010,5570,12570
proteins,4096,578100,1690,8960,4420,9570,9510,5900
english,8192,505600,550,4680,5600,1200,3590,5720
realDNA,8192,893100,470,3940,2690,14150,4020,4380
DNA,8192,14926900,800,4240,3960,10410,3730,3960
proteins,8192,1146600,2020,13840,16280,13350,15330,14760
proteins,16384,2442800,880,30860,18210,43680,27570,16700
realDNA,16384,4214300,1020,12830,13140,67510,15030,18100
DNA,16384,2830000,790,20880,17510,58420,19200,18010
english,16384,46360900,2170,24700,12500,12840,13450,11980
DNA,32768,12810900,2030,25490,25650,47910,11930,16130
english,32768,40699200,700,9950,11260,23650,10440,11270
realDNA,32768,22244200,1370,25340,8930,91100,24380,9100
proteins,32768,3540100,1630,31610,9680,51530,31780,12360
english,65536,68274200,2630,99020,104680,37870,87100,105670
realDNA,65536,55636700,1420,55470,25510,183120,52060,25600
DNA,65536,27018400,2770,83990,62700,173820,91300,61730
proteins,65536,13477600,4320,147690,47760,89880,108000,33560
DNA,131072,47426700,1530,71570,171100,285080,69460,171470
proteins,131072,35817500,4120,169150,110890,243600,146380,106310
realDNA,131072,60662500,1470,111090,95070,448670,109800,94560
english,131072,22043100,3720,187910,263530,12920,201380,274640
proteins,262144,84157200,6660,252980,146890,469160,218380,152530
realDNA,262144,84461500,1450,215190,100350,1109070,204450,98790
DNA,262144,94230200,2740,94060,666790,999440,99290,697460
english,262144,70635800,4380,680660,627770,31840,669860,643120
proteins,524288,112572500,1620,233550,718910,546530,231390,832420
realDNA,524288,189594300,1840,509630,192380,2481700,529180,191520
DNA,524288,168954800,1680,435280,664790,2096290,432780,669690
english,524288,101749100,5800,350380,404630,338850,362090,454420
proteins,1048576,202901100,1560,601840,404570,2706350,614290,405250
realDNA,1048576,380838800,1950,966290,20920,4935050,974630,25560
DNA,1048576,354632000,1670,891310,564150,6579680,885010,560620
english,1048576,269240700,4480,1061130,248160,128030,779790,239260
proteins,2097152,620607800,2310,2044220,1501030,2090400,2436360,1317920
realDNA,2097152,867184900,2180,3090800,601610,13189760,2703930,594140
DNA,2097152,850792900,2230,2172200,2885280,4430370,2303750,2939360
english,2097152,570903200,12120,1817140,515850,75970,1656210,473820
proteins,4194304,765940100,7820,2231470,4410450,4543050,3157630,6793630
DNA,4194304,10131970500,149210,3000710,5121030,11982140,7782750,6618710
realDNA,4194304,4128971700,245700,2086960,4530,19086010,2222080,251620
english,4194304,1215317100,39330,2987550,3740,3106610,3068120,127990
