data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,164700,14350,1480,990,17380,1820,2020
realDNA,256,700,5900,5670,6260,11320,12090,11240
DNA,256,1600,2340,990,600,3510,2250,2190
proteins,256,1400,3910,1770,2600,4140,3770,3630
english,512,2300,4870,1590,940,3130,2380,2810
DNA,512,1000,10930,2840,1920,18900,12730,11760
realDNA,512,2000,19750,3890,1670,32600,18190,16320
proteins,512,1500,1760,1090,370,2120,1470,1350
DNA,1024,1400,7670,2400,6900,11900,8040,10620
english,1024,2600,5070,1680,440,5710,2650,2150
realDNA,1024,2100,11970,3330,370,19820,560820,5850
proteins,1024,2900,3390,1710,420,5020,4210,2770
english,2048,2500,18330,6150,1950,14580,7720,6650
DNA,2048,2200,9910,710,330,17940,9970,9020
realDNA,2048,3300,12820,990,310,22550,11430,11240
proteins,2048,1300,6060,2500,560,9000,6670,5460
english,4096,1700,305170,3580,4960,18180,7070,9150
DNA,4096,2100,23720,6220,22470,34960,24770,33550
realDNA,4096,3000,27100,2430,470,230970,23560,22350
proteins,4096,2600,8310,7290,270,14540,13260,6830
english,8192,2700,56880,4640,10250,137550,14350,16870
realDNA,8192,6900,55850,2950,860,88900,47240,45610
DNA,8192,2200,45810,2840,490,81530,48310,44940
proteins,8192,2300,17830,2620,270,34130,19000,29080
proteins,16384,3000,34970,13600,370,57100,47740,28960
realDNA,16384,2100,81860,1680,2410,180180,82070,82990
DNA,16384,2700,128620,8740,760,231440,94440,74350
english,16384,1600,61500,3330,7330,70740,22210,23730
DNA,32768,11800,219620,8930,760,370600,218510,231850
english,32768,2000,109780,4730,7840,128060,38740,40830
realDNA,32768,2300,202450,4760,3440,342440,189850,200040
proteins,32768,2100,47250,3000,440,88410,66630,57490
english,65536,2200,254030,12780,9620,267730,1052530,98250
realDNA,65536,14300,308810,11030,4990,606230,300300,309560
DNA,65536,1100,346570,4830,2790,646700,390690,340290
proteins,65536,2000,163560,4650,530,171520,90500,87060
DNA,131072,1200,1100680,9520,2270,1312170,732970,711660
proteins,131072,1200,186650,7060,840,468710,1401550,186390
realDNA,131072,1200,1063510,5580,11660,1893470,2124400,708330
english,131072,1500,473390,14060,11400,550680,194320,195230
proteins,262144,1400,420900,5970,1000,824840,1307680,454580
realDNA,262144,1900,2093780,27300,17350,3594510,3726040,1446740
DNA,262144,1700,2412220,21650,4070,4888230,1459550,1434610
english,262144,1100,1552400,8630,18190,1681280,1435890,675680
proteins,524288,1700,732670,31810,1100,1535460,1331510,1005130
realDNA,524288,900,4598550,16700,53030,8195470,5231940,3288240
DNA,524288,1400,3236380,42270,8670,7604250,3128260,3101670
english,524288,1600,2426970,19130,28780,2518030,668760,703900
proteins,1048576,1000,2299490,15840,2330,3991770,2189890,2210080
realDNA,1048576,1000,8710740,20020,98560,12751040,6491060,6469790
DNA,1048576,1000,11176830,500650,21830,18194940,10624080,10271630
english,1048576,1200,9020,21810,8530,2798760,2729470,2682780
proteins,2097152,1400,6379980,143620,4960,11073930,6085940,4426520
realDNA,2097152,900,25178630,643140,247420,33641730,17037330,15636830
DNA,2097152,1200,18404550,2221410,39870,34215710,16176110,14776210
english,2097152,1600,8100,1017170,4910,66706250,4060920,3046040
proteins,4194304,1800,10139800,2579880,5520,14962590,7796330,7105840
DNA,4194304,1600,46946000,76290,75210,93740600,38386960,55564820
realDNA,4194304,2400,61657400,252240,548550,100357060,46837780,53939400
english,4194304,900,7870,34110,5730,9179820,8830080,8725010
proteins,8388608,1400,20808220,1448430,31880,38546450,19051540,20529290
DNA,8388608,11500,133334330,710320,7970680,271929190,120664430,119971310
realDNA,8388608,900,162246650,283520,1448330,324798970,148080840,151375100
english,8388608,2900,8060,1926470,8860,33681230,26803840,19916870
