data,length,construction,dptop,dpmid,dpbot
english,256,2697470,63550,910,780
realDNA,256,3838220,1730,780,800
DNA,256,1588520,1770,960,740
proteins,256,2317710,2040,1170,950
english,512,13331930,1140,930,850
DNA,512,8763700,1360,860,870
realDNA,512,9876400,1900,1300,840
proteins,512,11383860,940,790,810
DNA,1024,39690600,1790,1120,1050
english,1024,46313030,940,1060,980
realDNA,1024,50942000,1560,1180,1130
proteins,1024,112842100,2790,1940,1850
english,2048,390158270,4210,2480,2010
DNA,2048,373880660,4130,2280,3420
realDNA,2048,422088230,5740,2270,2780
proteins,2048,454980360,5770,3580,3260
