data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,150300,42720,3580,3370,30830,6970,6630
realDNA,256,800,3800,3150,2520,4700,4240,5210
DNA,256,1200,2220,1390,2620,2590,2010,2920
proteins,256,900,2220,1740,1980,2530,2910,4130
english,512,1000,3860,6330,5530,4550,13190,11690
DNA,512,900,2810,3180,4330,4510,6100,7370
realDNA,512,1000,1660,630,610,2270,1190,1020
proteins,512,2000,2140,1060,1080,2210,1750,2180
DNA,1024,1900,7350,4350,4550,8410,8470,8420
english,1024,1400,3910,4280,4470,7000,8050,9080
realDNA,1024,1100,2350,2150,1330,3320,4280,2960
proteins,1024,1000,5820,5000,4590,6900,7430,1238730
english,2048,1100,6160,8700,7290,9580,15520,11700
DNA,2048,7100,7980,11910,14330,16210,22110,29720
realDNA,2048,1700,4800,3120,3800,15160,8050,7340
proteins,2048,1000,3040,3030,3330,4390,5630,5610
english,4096,1800,5230,4890,5140,9000,435540,10140
DNA,4096,1300,6100,4060,6040,12180,8210,10820
realDNA,4096,1100,5810,3330,38210,11120,6930,11360
proteins,4096,1100,5100,7690,7900,9920,17000,18820
english,8192,1000,28240,49290,13780,17090,17710,26380
realDNA,8192,1700,22880,10040,8890,245030,18150,17050
DNA,8192,1500,13610,10920,44550,31320,20770,27060
proteins,8192,1700,9280,11390,12900,16490,21960,25700
proteins,16384,1600,14600,20350,21710,26760,176580,68900
realDNA,16384,2000,30720,40280,33920,359000,49970,461630
DNA,16384,1800,24950,22660,26180,49160,551170,126040
english,16384,1100,93080,21750,25460,31090,95400,59330
DNA,32768,2200,59860,95360,61890,123510,143770,123780
english,32768,1500,110020,34900,72400,27370,56890,97470
realDNA,32768,1600,47270,89590,47180,89730,112080,97930
proteins,32768,1900,35040,57950,63070,93590,131270,89250
english,65536,1700,90140,132790,212740,228130,519430,872890
realDNA,65536,7900,156370,279950,301550,313050,471980,637830
DNA,65536,700,166280,251570,318920,344440,530300,650270
proteins,65536,1100,88960,230360,264950,209270,417840,561490
DNA,131072,900,465680,595740,520770,397330,1056170,1021520
proteins,131072,900,246350,652240,860730,497230,1270860,1767830
realDNA,131072,800,472720,584030,806710,860000,1258830,1606000
english,131072,800,444760,731390,1109510,908650,1271510,2025560
proteins,262144,1000,310810,591190,1416030,1426820,2935110,2820120
realDNA,262144,1100,1124550,1228140,1234300,2258580,2568180,2598500
DNA,262144,900,627770,1535340,1498920,1228300,3306920,2858280
english,262144,700,1211480,1432190,2070860,2116810,2989150,3979360
proteins,524288,900,1427840,3166310,2977120,2346390,6600470,6684060
realDNA,524288,1000,1830330,3321420,3131020,3219840,5863950,5225050
DNA,524288,800,1321210,2969260,3269730,2403850,5951540,6194960
english,524288,1200,1904910,3276160,3904100,3871320,6489640,7442560
