data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,7510000,420,340,740,90,130,150
realDNA,256,9938700,140,150,190,60,70,90
DNA,256,25984000,520,360,340,130,90,90
proteins,256,19728500,540,330,360,80,90,80
english,512,80852300,410,690,590,90,170,130
DNA,512,58196000,320,370,320,10,70,80
realDNA,512,76677600,320,450,440,10,50,80
proteins,512,75573900,280,400,350,40,60,90
DNA,1024,458990400,400,650,530,30,100,60
english,1024,537723600,290,560,590,40,100,100
realDNA,1024,528403700,420,690,570,30,160,90
proteins,1024,476354500,430,720,790,10,110,110
english,2048,3645377400,400,750,800,20,200,150
DNA,2048,4051680900,400,750,890,50,150,220
realDNA,2048,6422568100,410,940,840,50,190,210
proteins,2048,5341788500,430,870,900,0,170,180
