data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,9126200,40840,1940,1490,520,30,40
realDNA,256,138800,960,1750,1510,200,60,30
DNA,256,192300,760,860,1150,70,70,50
proteins,256,165500,470,640,660,120,130,30
english,512,683800,2950,7840,6550,160,70,50
DNA,512,191600,530,710,890,190,60,50
realDNA,512,198500,2510,2260,2330,70,440,30
proteins,512,251900,3600,5160,4110,80,60,50
DNA,1024,371100,820,1850,1790,30,20,30
english,1024,298100,830,1250,2180,50,30,30
realDNA,1024,340700,1060,2030,1070,30,20,10
proteins,1024,531300,1910,4220,2510,80,90,50
english,2048,1668500,3300,7210,6200,310,110,230
DNA,2048,1672800,3260,6330,8020,390,240,90
realDNA,2048,2724200,1890,3030,4860,100,30,40
proteins,2048,1286600,2010,5870,1149280,240,70,180
english,4096,2736200,3250,7730,7940,120,30,20
DNA,4096,3174700,5680,15490,18380,370,110,60
realDNA,4096,3065600,3980,6340,15160,100,90,70
proteins,4096,2647600,4500,13080,12190,120,190,60
english,8192,4843000,14200,19850,4680130,120,30,80
realDNA,8192,3031500,447030,17680,18640,450,40,30
DNA,8192,6355000,13680,25800,997360,710,120,140
proteins,8192,16031400,13480,36300,37000,260,100,140
proteins,16384,14840400,12110,192660,52060,420,110,80
realDNA,16384,6439000,7850,106600,27850,600,40,30
DNA,16384,13716900,32100,296820,102300,3500,160,110
english,16384,7216400,15730,41750,87710,350,190,50
DNA,32768,18112400,35520,1775770,1672370,970,120,100
english,32768,12666500,210070,131840,182730,1450,130,100
realDNA,32768,10118700,159170,68440,99410,1180,50,70
proteins,32768,49506400,44940,169470,113900,1710,110,70
english,65536,29841300,278040,566140,921630,840,150,100
realDNA,65536,43171600,245050,574470,977450,69880,160,140
DNA,65536,50876000,209070,739920,925710,2740,130,150
proteins,65536,74465800,151520,450590,483150,1330,100,70
DNA,131072,83325500,401550,1753890,1625820,19410,150,100
proteins,131072,142973100,117160,574060,1252090,5630,130,110
realDNA,131072,93332300,232060,504530,583480,32400,200,130
english,131072,78180100,1552480,2404810,3251000,680,370,180
proteins,262144,547162500,1731640,4578960,4490220,20590,230,180
realDNA,262144,200327000,341730,1016620,906260,22610,150,160
DNA,262144,190170900,1560340,4495630,5027080,65670,160,210
english,262144,170891800,582930,1387480,2562770,1080,240,330
proteins,524288,993908300,528830,2977380,2881870,13990,220,240
realDNA,524288,395546700,589630,2254390,1856880,45830,580,240
DNA,524288,381781400,2720900,9976640,10688110,177580,330,360
english,524288,358257200,1971360,220492270,3190200,14350,250,400
proteins,1048576,1704312200,1257280,7887200,5391450,299107630,290,320
realDNA,1048576,864430200,2142040,8559430,5278690,154140,430,530
DNA,1048576,817783000,1437550,6148660,7303650,201780,360,310
english,1048576,805422400,4077980,6923550,7282210,4290,310,340
proteins,2097152,14000057300,7857880,15977750,30355150,20440,370,360
realDNA,2097152,1971601500,9817000,40478630,24441930,617140,390,350
DNA,2097152,1804018100,8764560,35515430,35173480,321740,520,380
english,2097152,2177825400,8474530,12715570,14935620,2020,380,610
proteins,4194304,7117623400,16273120,45985160,636120370,652000,480,370
DNA,4194304,3724023300,16866870,88599630,88107420,643550,460,440
realDNA,4194304,4156961600,27462400,1457213700,22780780,1501820,430,530
english,4194304,20032919200,35844730,1564602900,60525740,293530,620,3180
