data,length,construction,topMatching,midMatching,botMatching,topReporting,midReporting,botReporting
english,256,7860200,10,30,20,624640,2670,670
realDNA,256,238500,0,10,10,22760,980,610
DNA,256,226500,10,30,20,950940,8480,740
proteins,256,358800,20,10,20,15870,2340,2490
english,512,282800,10,0,10,19070,3360,1590
DNA,512,231300,40,10,20,40060,3950,1260
realDNA,512,238100,20,30,30,34940,560,790
proteins,512,338300,10,10,30,11140,590,360
DNA,1024,693200,30,10,20,64270,1330,580
english,1024,625000,30,20,0,28390,2920,2700
realDNA,1024,787600,20,0,10,1034810,20360,2860
proteins,1024,707500,0,20,10,31130,1220,800
english,2048,10491000,30,0,0,13320,2880,590
DNA,2048,1563900,10,20,20,1201520,2250,570
realDNA,2048,1512300,10,10,0,1209390,14460,670
proteins,2048,11619600,20,20,20,55960,1250,910
english,4096,2793300,20,0,0,102600,940,660
DNA,4096,10453800,20,0,0,1948280,3310,520
realDNA,4096,10159500,20,20,30,514670,2970,1780
proteins,4096,8299500,20,10,20,102150,2190,810
english,8192,4922600,20,20,30,1175140,540,4110
realDNA,8192,16058500,30,20,10,1641140,4620,1000
DNA,8192,5429900,10,20,50,3482600,2780,930
proteins,8192,11334300,20,30,20,639400,1860,960
proteins,16384,33735000,30,20,20,3899950,890,760
realDNA,16384,22548400,30,20,10,5552540,1980,8110
DNA,16384,17692800,0,10,20,4352970,6600,640
english,16384,32559100,10,20,20,1657080,1700,2210
DNA,32768,79466800,0,20,0,9930670,990,820
english,32768,60507300,0,10,30,1827530,1790,1390
realDNA,32768,66682100,20,0,10,12579990,1700,9780
proteins,32768,62351200,20,30,20,7417200,4660,1730
english,65536,144409500,10,20,0,5381490,15710,67360
realDNA,65536,143756300,20,10,40,22672280,3470,14770
DNA,65536,150916700,20,30,10,15187560,1150,660
proteins,65536,131850800,30,10,10,13773230,1500,2100
DNA,131072,344062000,0,10,20,42143170,1600,890
proteins,131072,263052600,10,10,10,15479940,2470,1340
realDNA,131072,347445500,20,10,20,47110780,3510,1530
english,131072,282878100,20,10,20,11942820,1970,1550
proteins,262144,593808700,30,10,20,79644020,1470,1820
realDNA,262144,920918700,30,10,20,100380050,3300,1900
DNA,262144,745477900,30,20,10,88622080,1920,710
english,262144,643240800,20,30,40,12840260,1100,1170
proteins,524288,1457960000,10,20,30,155804570,1170,1530
realDNA,524288,1732614600,20,30,30,222861630,1670,2310
DNA,524288,1787934300,20,10,20,215461360,4830,1060
english,524288,1521432000,20,40,20,1929680,3080,7710
proteins,1048576,3054751800,30,30,20,290120710,2030,1660
realDNA,1048576,4046301500,20,20,0,630686440,3720,173080
DNA,1048576,6729617000,30,20,40,482767270,1280,960
english,1048576,3107591900,10,10,40,15387580,3060,4064050
proteins,2097152,6771300500,30,0,0,960669060,4050,1300
realDNA,2097152,12402488000,20,10,10,1304199790,1930,271030
DNA,2097152,8275664100,30,0,20,1124587450,2210,1460
english,2097152,6869439700,40,10,10,27644470,3380,17940
proteins,4194304,28493802000,40,20,40,760167890,8450,2200
DNA,4194304,22848668300,20,30,10,1704872160,3960,2050
realDNA,4194304,32509363200,40,30,0,1404213570,8580,40600
english,4194304,36083066100,30,10,30,113943520,2380,53070
proteins,8388608,192481684800,20,20,10,11658024330,9910,10420
DNA,8388608,822303226200,20,30,30,86561059320,8160,10700
