data,length,construction,dptop,dpmid,dpbot
english,256,242500,19860,2170,1830
realDNA,256,1800,6850,4770,3670
DNA,256,3600,5700,4160,2100
proteins,256,2600,3540,1740,1730
english,512,2100,3870,1800,1650
DNA,512,3600,7960,1880,3040
realDNA,512,4700,49030,5410,4920
proteins,512,3500,2720,1710,4510
DNA,1024,4200,14460,5760,4290
english,1024,4600,3290,2560,1350
realDNA,1024,20000,5590,5150,4470
proteins,1024,4200,8060,6910,3680
english,2048,3500,8670,10710,5140
DNA,2048,2600,27910,7180,3940
realDNA,2048,2200,36180,5720,11650
proteins,2048,3300,15260,5220,3290
english,4096,2600,5610,7740,6910
DNA,4096,2100,23040,19200,11580
realDNA,4096,7700,29540,16910,20910
proteins,4096,2500,41020,19830,12390
english,8192,9000,3900,19110,7520
realDNA,8192,2000,144900,687580,65920
DNA,8192,2600,153750,50470,67420
proteins,8192,1500,30680,11350,16120
proteins,16384,3000,275550,107930,83200
realDNA,16384,6400,514510,170860,140830
DNA,16384,2500,406930,162860,149470
english,16384,1500,18500,24510,42810
DNA,32768,2700,281040,82130,94410
english,32768,2900,571410,140340,93130
realDNA,32768,22000,1072710,479250,151400
proteins,32768,1200,342800,117850,117540
english,65536,1900,408400,227250,54520
realDNA,65536,2000,1257370,713470,883830
DNA,65536,1700,1403910,502420,446880
proteins,65536,1700,684380,404680,403840
DNA,131072,1400,2879500,1066550,408620
proteins,131072,1500,2717270,1076710,1533640
realDNA,131072,1200,6459620,2614360,1716930
english,131072,1500,55480,252150,354730
proteins,262144,1800,5973400,1694160,1661880
realDNA,262144,1800,12670580,4451120,5673060
DNA,262144,1400,8632520,3257160,3141280
english,262144,1700,185070,493330,239150
proteins,524288,1500,5841580,2476920,2323960
realDNA,524288,1800,22683190,9742470,7022330
DNA,524288,1700,25417710,5454450,8699920
english,524288,1500,2167670,1671880,1735940
proteins,1048576,1600,23809050,6086610,6815470
realDNA,1048576,1700,32584800,26008590,17398770
DNA,1048576,1700,89371420,21480690,24793380
english,1048576,2000,607600,1348050,468200
proteins,2097152,1600,9932390,3555360,2484360
realDNA,2097152,1500,117825780,25043160,24021950
DNA,2097152,1800,44400480,13254400,17690890
english,2097152,1000,108410,1025540,513090
proteins,4194304,1400,94119060,19750720,24975230
DNA,4194304,1300,115785570,26616900,85174070
realDNA,4194304,2400,211919270,70363530,92163280
english,4194304,2000,28359610,5039230,14691050
