data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,3192700,12960,1510,2750,30260,2190,1850
realDNA,256,172500,1430,1520,920,9800,4860,1480
DNA,256,183300,4020,940,740,8190,3120,2010
proteins,256,72900,810,680,650,4370,1620,1310
english,512,64500,1130,630,540,6570,1550,2360
DNA,512,110200,2010,1420,620,12660,3620,2690
realDNA,512,104200,2710,940,1060,20650,3540,2470
proteins,512,33800,500,760,550,1390,1070,980
DNA,1024,800700,3260,1620,2620,21970,4680,4860
english,1024,113300,870,1240,1100,2710,1750,1650
realDNA,1024,207900,2620,4290,1130,6810,2890,3230
proteins,1024,1168300,2380,2410,1620,8620,5570,2870
english,2048,202300,2720,2890,1670,8260,4350,4790
DNA,2048,143300,4080,1310,1380,27070,5470,4710
realDNA,2048,422400,13850,2800,3190,90830,12480,24270
proteins,2048,130000,5180,8960,3340,24070,7310,6030
english,4096,412100,3820,4660,5610,11700,8730,7470
DNA,4096,520700,9510,4650,4720,43520,14880,15400
realDNA,4096,415500,6300,1650,3980,34240,7300,11550
proteins,4096,349900,9740,6830,2850,59920,36350,15610
english,8192,458200,1260,4480,6240,2650,5390,6290
realDNA,8192,707700,43020,12190,5950,180180,40160,43750
DNA,8192,789900,54170,11030,13990,1348180,97370,66160
proteins,8192,407300,9070,5550,5170,32150,11180,15910
proteins,16384,1769700,72570,22230,14380,359580,97500,101570
realDNA,16384,3282500,133670,14620,17840,721270,162820,588600
DNA,16384,2926700,170220,22530,26090,1465130,173140,196340
english,16384,1480300,26090,995190,12500,64070,70790,16490
DNA,32768,5162100,100980,26850,31910,4342310,116790,105710
english,32768,5378600,166260,30560,31010,341440,4112000,171070
realDNA,32768,7283500,277170,25340,8800,841500,411320,149840
proteins,32768,2404500,79610,21040,7440,409360,88230,68650
english,65536,59224100,107370,90230,107120,564100,109400,204140
realDNA,65536,6327900,300220,35330,25920,1955980,236590,316670
DNA,65536,11878500,323370,84910,63020,1977510,379850,346420
proteins,65536,5750200,233340,113860,31670,995440,566620,318030
DNA,131072,20910500,935820,66590,155300,4656050,683900,316450
proteins,131072,6316900,337440,61670,36700,2792640,676540,947400
realDNA,131072,41830400,1502460,172290,155010,7491510,1682710,1982970
english,131072,13267100,26680,223340,245710,42840,169480,261370
proteins,262144,37235700,1387460,220660,149500,6931690,1938750,1523560
realDNA,262144,77014700,3508930,203110,96600,21229040,6155180,2142970
DNA,262144,69363300,3070040,94660,670440,19070790,4757210,3356740
english,262144,91040500,72200,405310,388880,167110,523530,541710
proteins,524288,65254900,1755220,237660,797960,5191180,1100850,1930320
realDNA,524288,163267000,7328900,466830,170770,37525280,6641570,5530460
DNA,524288,154619700,5911760,382360,589280,32143150,4739710,4446920
english,524288,163651300,1319240,350450,403960,2798130,361800,2935540
proteins,1048576,162413200,7765660,601020,404220,31418680,6942350,6534260
realDNA,1048576,407271400,15730240,1007650,16560,63676190,17103080,21131650
DNA,1048576,319304100,19795140,788770,496000,93603830,21447110,17661800
english,1048576,341399600,484920,701580,179990,2463790,897100,388300
proteins,2097152,593375200,3024370,2771230,1875160,11122910,3445490,8707870
realDNA,2097152,899479800,26507310,3105770,524760,124733860,30704770,29646410
DNA,2097152,660085700,12540020,2279630,2872770,60643310,16946370,13356900
english,2097152,756273500,153180,1612940,506210,645800,2123800,657820
proteins,4194304,1766774100,22984100,3766250,6792050,104980240,23994010,29124570
DNA,4194304,1431003400,36027040,2372630,4061170,185178010,64283770,36592210
realDNA,4194304,2071130600,67667460,3384460,2560,352065280,113499000,79871570
english,4194304,1629996700,14463360,3353750,215420,18810180,5190310,41978150
