data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2872100,5430,1900,1260,228620,3950,3020
realDNA,256,57000,1590,1740,1410,28200,3140,3270
DNA,256,33300,1290,1150,1120,13960,3460,3070
proteins,256,37400,1470,1600,1900,7840,4230,3970
english,512,103500,810,3110,2760,16840,10840,8800
DNA,512,81600,1440,2250,2890,31650,4600,6630
realDNA,512,65400,1810,510,880,28620,2920,1330
proteins,512,86900,800,410,550,10460,1320,1550
DNA,1024,94400,2220,930,630,40870,2030,1310
english,1024,133900,1580,690,1090,24090,2150,1610
realDNA,1024,121900,1920,1310,610,27730,3250,2240
proteins,1024,104100,1490,880,590,29830,2100,1720
english,2048,222100,1520,1460,940,22280,4600,2680
DNA,2048,215700,2220,1280,1420,39760,4290,3360
realDNA,2048,224400,5670,1210,1240,69120,2910,2410
proteins,2048,188300,1070,860,1200,13140,1630,1470
english,4096,1445600,5520,2530,2740,125260,6570,13150
DNA,4096,366300,6190,930,1560,110850,5270,3880
realDNA,4096,382500,7190,670,1640,129590,2650,3250
proteins,4096,384300,1550,1310,930,24530,4860,2520
english,8192,806700,8070,1800,2640,103880,4220,6020
realDNA,8192,5568700,29390,2680,1290,686790,5550,3110
DNA,8192,913200,20880,2830,2700,372530,5600,5840
proteins,8192,1027900,9350,5600,5080,1221420,7310,5840
proteins,16384,1863700,13790,3950,5940,231060,7170,10830
realDNA,16384,2522500,45780,21730,14200,2031150,16260,7870
DNA,16384,1954000,41910,4930,7320,801210,17650,28940
english,16384,2087200,4190,13630,10690,47960,18440,21920
DNA,32768,4389800,58950,17800,15360,1611950,20900,17650
english,32768,4567300,5350,11660,8150,62200,16220,20050
realDNA,32768,4487700,53290,11140,9310,1976000,14900,11650
proteins,32768,4016300,42040,11020,938610,788960,12110,9600
english,65536,8285500,77640,27790,408220,1855660,34730,934370
realDNA,65536,11934300,196510,30220,9780,8346170,75660,16090
DNA,65536,7432300,187030,17420,15040,10834520,21740,47110
proteins,65536,8027200,45670,16460,19610,1781810,27290,44940
DNA,131072,16286400,174720,40870,39360,4924120,99450,90620
proteins,131072,18898000,232950,110620,54310,5476780,150690,99780
realDNA,131072,24157800,424210,29250,50490,15881890,69540,98750
english,131072,17188600,47820,42520,59300,1342100,82750,116800
proteins,262144,37423600,270580,127800,126390,9676070,269240,206060
realDNA,262144,36144900,1166320,63400,17820,135567480,105920,65650
DNA,262144,41463000,269920,73600,64020,9033380,235760,153520
english,262144,37713100,202450,19260,115570,3243540,93080,270250
proteins,524288,81808400,1205960,272640,250530,57970990,645150,470980
realDNA,524288,85105400,673720,286590,70200,112574300,446880,112810
DNA,524288,82964500,704170,56760,190560,28800950,117490,438280
english,524288,102528700,10200,169510,141540,158930,397780,238010
