data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,296800,8040,2900,1370,39290,2880,1730
realDNA,256,2200,3110,8100,8690,24910,9030,11170
DNA,256,1500,2410,1200,1150,6680,3670,1960
proteins,256,3400,2850,6640,8660,11950,8630,10030
english,512,3000,1420,660,900,7070,1830,1250
DNA,512,13200,6210,1900,2490,17930,3990,4360
realDNA,512,2500,3260,2180,1650,33500,13980,3820
proteins,512,18800,1200,750,1140,4690,1210,970
DNA,1024,2200,2740,1540,1030,19150,3760,3270
english,1024,2000,1500,3290,2430,7380,4430,5410
realDNA,1024,1900,3700,2040,590,28150,9440,4720
proteins,1024,700,1320,2940,690,4330,1320,1050
english,2048,1300,1640,1880,1100,9620,8460,3790
DNA,2048,3800,6310,2100,1170,45510,11670,9000
realDNA,2048,3600,6740,3380,1930,482660,14570,9480
proteins,2048,11300,6540,8340,3510,17180,6280,6490
english,4096,1300,5210,4140,2630,25150,8290,9620
DNA,4096,1400,24270,2850,5730,195740,46180,42140
realDNA,4096,1000,12240,2170,2500,119330,41910,39410
proteins,4096,1100,4940,2970,1620,32190,6460,5210
english,8192,2700,4190,17490,6800,29170,21650,14100
realDNA,8192,1700,15790,4620,3620,235870,145480,142010
DNA,8192,1600,34920,4220,16270,346190,108400,106920
proteins,8192,1500,6970,6190,6080,63910,35030,34770
proteins,16384,1400,31020,11230,13650,200260,75060,76100
realDNA,16384,1700,52450,5970,5200,575170,220430,220900
DNA,16384,1300,71100,3150,15010,636930,249260,276770
english,16384,2400,21770,12470,12960,142130,41980,39450
DNA,32768,1200,96210,15630,18350,931440,503290,472830
english,32768,2000,21520,13070,8590,176710,102640,93210
realDNA,32768,1600,151780,17360,11410,1319580,514740,502010
proteins,32768,1500,84490,12260,9490,457340,135980,132660
english,65536,10100,58550,20010,54070,375290,215890,250340
realDNA,65536,1000,253050,17190,44730,2294540,993950,1021410
DNA,65536,900,140100,18170,26770,1682140,962850,981960
proteins,65536,800,165620,26640,22780,913010,301600,304280
DNA,131072,1300,448960,82230,98320,4470100,2132620,2134890
proteins,131072,1000,171220,50690,107150,1178540,569960,600800
realDNA,131072,900,490580,95320,65470,4940550,2243780,2218430
english,131072,1000,132600,36560,45430,860090,469000,477440
proteins,262144,900,749310,212050,59900,3816170,1217610,1069000
realDNA,262144,900,1342240,107410,74670,10599560,4424220,4273550
DNA,262144,1600,945550,70430,97010,8754330,4219340,4247310
english,262144,600,103070,171170,148590,1290870,1093430,1115520
proteins,524288,1300,1528180,285220,160760,8203820,2438120,2337180
realDNA,524288,1600,2460560,185710,45780,20714660,9232130,9301580
DNA,524288,800,2497810,153280,223770,20155600,8810530,8766010
english,524288,1200,5710,138230,111310,1939640,2023840,2043300
proteins,1048576,1400,2709360,467150,145600,14277970,4943300,4557060
realDNA,1048576,1100,7913050,549660,99950,201466930,19709050,19649650
DNA,1048576,800,6503390,243530,375000,49442100,18836180,18706870
english,1048576,1100,111300,274070,68610,4408150,4361130,4266070
proteins,2097152,900,6606230,1087050,1649860,37413040,11997920,12161800
realDNA,2097152,900,15143040,911700,194280,119240570,43720280,42942020
DNA,2097152,700,14185650,759280,751730,109097060,40177440,40072330
english,2097152,700,294870,2265990,260450,13786070,12662730,11581080
proteins,4194304,1900,7105900,3037480,2898890,45214040,22049830,22263230
DNA,4194304,1700,21594890,1645200,3095100,203326240,87729870,87456410
realDNA,4194304,6700,13257740,2719750,2300,162440910,92768760,90050650
english,4194304,1700,981440,2522150,2610,23716810,21316250,19001800
proteins,8388608,41000,50736210,29478530,63914610,304478030,80485410,115789520
