data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,1846300,15140,3270,1220,35960,2730,1720
realDNA,256,974700,1370,1060,1150,10600,8050,2200
DNA,256,818300,1710,850,640,8800,1960,2020
proteins,256,847700,1450,820,770,11060,3790,1840
english,512,40904800,250,470,350,3010,760,620
DNA,512,2221300,1000,1240,490,16620,2540,1080
realDNA,512,714100,670,760,560,13930,1960,1250
proteins,512,16149900,420,700,510,1200,1050,900
DNA,1024,3217500,1290,3340,1390,13800,4390,2230
english,1024,939000,590,1150,820,2620,1350,1120
realDNA,1024,1256100,1670,2030,700,4660,2470,1820
proteins,1024,2441600,1570,3350,950,9680,3700,4930
english,2048,2492200,620,2420,1570,8400,3210,2240
DNA,2048,1918100,680,1440,1530,12370,2220,1980
realDNA,2048,3060100,690,1260,1290,16110,1670,1890
proteins,2048,2650800,750,3090,2240,23570,3830,3180
english,4096,28730700,930,6050,4300,11080,5670,6710
DNA,4096,9989400,1290,6560,5470,56540,5790,4430
realDNA,4096,7448600,1270,3160,7250,35140,8000,8400
proteins,4096,3896100,760,4020,1650,19770,3910,2090
english,8192,26729400,360,3550,5220,1800,3310,5360
realDNA,8192,41892500,1130,7440,4280,103810,8170,4980
DNA,8192,27426300,1170,7770,7850,137170,9030,8580
proteins,8192,12780100,980,1536980,8640,36200,9880,9130
proteins,16384,40396900,970,20970,15760,199390,21400,2076120
realDNA,16384,65923300,1250,11100,12510,376270,12320,12910
DNA,16384,21688100,1170,18020,11800,1795400,20610,17870
english,16384,26751000,530,10000,6990,24480,8690,8030
DNA,32768,152065400,1410,25210,33890,149100,26690,31880
english,32768,85054000,710,10340,10490,131480,11960,10720
realDNA,32768,111966300,1280,25290,10280,6869140,26860,10410
proteins,32768,99882900,1310,42730,9610,238570,32750,10900
english,65536,324142400,1250,88680,103080,95660,88460,107670
realDNA,65536,368564600,1500,52060,25110,1346300,56850,27350
DNA,65536,335940300,1380,93470,63630,3536430,86430,61200
proteins,65536,283150500,1150,110150,31470,376890,7457710,33810
DNA,131072,636993000,1560,67690,152460,1505340,66190,153060
proteins,131072,558638400,1290,91300,72680,5283350,101630,74030
realDNA,131072,659212200,1470,173470,157320,6596710,176860,158100
english,131072,524690200,1170,170040,252480,23790,176140,258590
proteins,262144,1564324800,1520,225620,148860,6022650,220220,151440
realDNA,262144,1383928600,1620,205830,96510,8254590,212480,114810
DNA,262144,1417754500,1510,110460,677430,13849960,101320,737950
english,262144,1215321500,1260,406270,380480,105490,410840,386090
proteins,524288,5216307900,2130,263970,730050,8580570,235640,725080
realDNA,524288,3102097500,1930,460740,170670,20266350,459880,178540
DNA,524288,2946166100,1660,440600,667950,21524090,440120,675140
english,524288,2595050200,1530,350810,402880,807240,348490,407790
proteins,1048576,9378823500,3300,705780,459660,17735000,606180,420680
realDNA,1048576,6689940400,4480,1252550,20070,38570570,1084870,69450
DNA,1048576,6648334500,1830,974690,686020,48232160,1147620,620660
english,1048576,5958756200,1860,809480,205080,283020,776160,210680
proteins,2097152,17331967100,2470,2228250,1252740,2822660,2038270,1238400
realDNA,2097152,15872373300,1830,3070040,512440,50894250,3111770,563790
DNA,2097152,13972146200,2130,3236870,3460750,27167970,3191250,3118730
english,2097152,12728669400,2020,1711200,605740,124790,1887290,514600
proteins,4194304,36294508500,2010,3912620,6616120,46985500,3782440,6677610
DNA,4194304,30994688000,2720,4946740,8574380,109633740,3591340,6919910
realDNA,4194304,40876076300,529730,4565370,3630,67781400,1983060,855150
english,4194304,36616773100,1770,3630690,1780,4028380,3338850,200840
