data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,1396700,9860,430,1600,31400,3990,1660
realDNA,256,133200,560,500,410,52100,57040,48400
DNA,256,274800,1320,930,1450,43270,11220,3310
proteins,256,123600,810,470,2970,10290,10620,5620
english,512,187700,800,3590,1390,43710,10390,7340
DNA,512,159600,620,710,1210,46220,10000,2610
realDNA,512,188500,630,690,1180,224620,16940,2490
proteins,512,106800,370,670,460,7080,4640,1060
DNA,1024,160700,160,120,80,61220,47800,56980
english,1024,148500,360,330,400,26620,6770,600
realDNA,1024,270400,310,200,290,91090,17220,680
proteins,1024,150300,250,270,230,13020,4500,580
english,2048,352700,350,360,1470,90780,23770,3350
DNA,2048,300300,380,910,390,134460,7900,1360
realDNA,2048,402500,190,660,260,386480,5410,840
proteins,2048,189500,160,130,220,26350,8060,1160
english,4096,594100,270,340,230,869970,11360,19680
DNA,4096,712800,190,170,100,334660,62140,253090
realDNA,4096,752800,180,280,420,283760,21630,2950
proteins,4096,470400,260,210,260,56610,46450,450
english,8192,1126800,200,310,200,232080,12710,21580
realDNA,8192,1683100,190,200,660,925610,30800,6500
DNA,8192,1789400,210,280,340,811720,29760,1250
proteins,8192,1007600,210,1060,210,154800,11340,480
proteins,16384,2000400,190,140,240,297810,143260,470
realDNA,16384,3736900,260,1300,2240,3028410,17340,24380
DNA,16384,6653800,250,180,390,1089550,59050,2140
english,16384,2380300,200,2040,220,1333110,18280,28280
DNA,32768,6932000,280,270,490,3630390,147680,4650
english,32768,4910800,210,220,210,3407420,35900,34820
realDNA,32768,7324400,250,260,230,4175760,60650,44500
proteins,32768,4098000,270,1730,250,1060690,19190,890
english,65536,9984800,260,120,200,3709190,64370,45410
realDNA,65536,16576400,310,260,240,4447780,166420,81990
DNA,65536,15226600,250,350,830,4833600,65960,11550
proteins,65536,9117000,250,3350,290,1060440,38330,1650
DNA,131072,35135200,270,340,1410,9130610,139010,23990
proteins,131072,19051500,250,5840,450,4228430,64580,3440
realDNA,131072,34737700,290,4180,230,10488180,67700,177450
english,131072,30322300,250,730,200,3659620,140710,59040
proteins,262144,42254600,280,5330,670,3836100,63610,5460
realDNA,262144,77648100,310,420,220,22389910,416460,274670
DNA,262144,96067900,360,470,3190,20769650,311740,56300
english,262144,60990400,320,9120,270,9855120,91040,98750
proteins,524288,94404800,260,630,750,7898200,356760,7900
realDNA,524288,174869100,320,470,260,45981040,237820,666650
DNA,524288,163280300,290,410,8650,41855800,629710,129890
english,524288,104040300,290,1040,210,17487260,176550,179200
proteins,1048576,199509600,280,23150,2130,16679230,185610,19260
realDNA,1048576,382677100,280,440,220,96600790,341320,1951130
DNA,1048576,512010100,410,370,46560,120358530,7263060,435520
english,1048576,388960600,5960,30160,6320,66920,234950,67240
proteins,2097152,600711600,320,550,4000,43596200,2124300,1118350
realDNA,2097152,826253200,280,440,260,240716870,9650330,4081540
DNA,2097152,816499900,290,420,280,189931400,685450,711660
english,2097152,492972100,4480,680,2590,54360,8763390,46280
proteins,4194304,872208100,300,550,6160,69683750,4282400,71210
DNA,4194304,1724359300,310,490,290,384785360,1464620,1490040
realDNA,4194304,1802786700,280,370,180,432900390,4508550,9831960
english,4194304,1085675200,4980,68550,4880,58690,508860,56980
proteins,8388608,2040741200,300,620,10820,151805320,3309250,147200
DNA,8388608,16433927400,1110,1920,1030,874677770,6240000,4607730
realDNA,8388608,4839341000,550,1350,540,1096754000,1311270,23393150
english,8388608,2379420300,4220,1730,43390,61390,3978400,48440
