data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2927800,26010,2340,1620,28410,4070,3550
realDNA,256,429100,402610,1520,1860,9390,1900,2280
DNA,256,120100,2060,1270,1460,4280,2540,2940
proteins,256,72200,1230,1760,2650,3300,3790,4900
english,512,111400,700,5880,3810,2570,9930,5460
DNA,512,204300,3890,2210,2920,7300,4590,6720
realDNA,512,134300,3000,780,590,9600,840,1000
proteins,512,90100,540,490,540,2220,900,1180
DNA,1024,124000,3270,940,630,14560,1540,1000
english,1024,84300,1990,990,1010,4220,2000,2730
realDNA,1024,580700,2430,1440,740,6370,2360,1340
proteins,1024,65300,330,700,660,5550,1530,1430
english,2048,108700,2340,1880,1320,4810,3720,2440
DNA,2048,168300,530,1340,1410,7710,2220,3060
realDNA,2048,133300,11050,1480,1480,60370,1630,2820
proteins,2048,101500,520,1470,1820,4310,2700,3320
english,4096,126900,3330,1440,1310,10130,3250,2680
DNA,4096,159300,3380,1380,1660,11850,1730,2820
realDNA,4096,161900,4260,720,1620,33700,1490,5950
proteins,4096,98600,1180,2380,1780,5910,5040,3190
english,8192,288400,5110,2640,4900,21700,3160,5350
realDNA,8192,269800,42790,1760,1300,252210,3890,2420
DNA,8192,248300,21050,2190,2740,81580,4050,451440
proteins,8192,152100,4770,5590,5160,30640,9730,9360
proteins,16384,209800,1490,2660,5480,32980,711860,8550
realDNA,16384,824700,50600,11980,4430,345090,40690,25730
DNA,16384,475400,36370,4120,447160,192360,8380,15080
english,16384,441500,970,7640,9320,4040,14580,21540
DNA,32768,1061300,44830,25250,1530880,243510,25400,18490
english,32768,1035100,570,14540,17650,7270,1572510,16420
realDNA,32768,1447900,29660,6870,5860,181600,10000,19400
proteins,32768,411000,14110,5120,2840,128290,9480,9340
english,65536,2028100,151920,22150,30230,187070,25970,58890
realDNA,65536,3678100,371030,33330,10940,1737880,72220,20670
DNA,65536,2928800,137360,19670,14970,977520,21260,34310
proteins,65536,7165900,14450,15680,19550,90070,33260,59420
DNA,131072,8417700,103890,44280,61300,1791270,71750,79310
proteins,131072,2278800,113810,68330,39520,721100,143930,95600
realDNA,131072,6886900,1694250,29670,50130,2617960,67200,111420
english,131072,4515600,24850,36500,55630,89320,55190,109800
proteins,262144,6268800,162230,99170,95560,808290,227530,176490
realDNA,262144,12032700,4034400,71160,17770,13226960,151740,22160
DNA,262144,16267900,105280,86730,65650,1333550,138410,135710
english,262144,8773800,805510,17210,115420,1112890,21750,274380
proteins,524288,15857100,905470,248270,247160,6272050,372640,538560
realDNA,524288,26078300,4624970,329070,134200,12729790,665880,125590
DNA,524288,17348100,517970,54570,191360,3083580,123380,409630
english,524288,18341100,4850,190840,155880,19260,347700,325490
