data,length,construction,dptop,dpmid,dpbot
english,256,769200,132840,1050,570
realDNA,256,500750,11080,680,460
DNA,256,162990,4150,600,410
proteins,256,368860,2410,570,550
english,512,3328640,5970,1050,1320
DNA,512,1279940,4410,700,620
realDNA,512,4496480,4100,700,770
proteins,512,2646890,2310,790,680
DNA,1024,12743450,13150,1120,950
english,1024,12977990,4790,960,1220
realDNA,1024,15532120,3610,1450,1050
proteins,1024,14714030,5600,1130,1100
english,2048,84657200,3250,1430,1520
DNA,2048,80911500,8650,1610,1760
realDNA,2048,123611420,17230,1740,1610
proteins,2048,96529930,3120,1620,1640
