data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,189100,30740,3490,2800,36110,5890,6250
realDNA,256,800,3050,4390,2010,16700,5240,5090
DNA,256,1200,3140,2180,1260,4910,2910,2430
proteins,256,900,2420,1830,2240,3960,3790,4700
english,512,1700,4610,6320,5380,7370,13450,12890
DNA,512,2200,3190,2800,3490,9290,5070,6090
realDNA,512,1600,2240,770,860,7830,1580,1700
proteins,512,1500,1740,910,1020,3730,1710,2190
DNA,1024,1400,3580,1910,1670,13900,3790,4050
english,1024,1600,7870,10190,4380,7140,7860,8600
realDNA,1024,1500,2910,2150,1510,6880,5380,3400
proteins,1024,900,2540,1870,1650,8100,3660,4090
english,2048,1300,4220,4370,3340,8640,9280,6520
DNA,2048,1300,3760,2490,3940,10950,4890,6390
realDNA,2048,1200,10090,9580,11560,32310,14980,16200
proteins,2048,1200,3040,2880,3250,6160,6440,6380
english,4096,1700,8000,7130,7720,32890,442440,12740
DNA,4096,1700,9270,4870,6590,41200,10420,12710
realDNA,4096,1100,10870,4610,472660,38630,8830,12820
proteins,4096,1100,5730,8060,8540,13710,16170,15200
english,8192,1400,14410,503110,17810,33210,22380,33710
realDNA,8192,1100,33010,9550,562030,128580,22580,15380
DNA,8192,1200,26560,406950,13580,128070,30020,36280
proteins,8192,2300,12240,9440,10680,51190,66440,96990
proteins,16384,1600,46890,1274470,89920,116430,187210,46150
realDNA,16384,1900,91440,1967150,27430,348300,144560,59780
DNA,16384,2400,51640,38510,96040,402920,39380,364010
english,16384,1200,1095370,19690,73310,184340,35810,297650
DNA,32768,1700,107090,908270,93110,369330,102140,66300
english,32768,2000,23660,152450,885760,122330,82600,95130
realDNA,32768,2000,111670,370640,882290,942770,278460730,489550
proteins,32768,1400,59060,229520,33770,708060,128290,81900
english,65536,1500,216840,476710,628150,639520,1299770,908570
realDNA,65536,9400,262780,268400,1299990,1047610,572330,493840
DNA,65536,900,281540,293920,332590,1764170,521750,635580
proteins,65536,800,133570,223960,325180,608980,533900,521060
DNA,131072,900,290510,581940,1232970,1032620,1183450,1084820
proteins,131072,1000,268610,310790,351960,2220750,577380,713800
realDNA,131072,700,697780,1240590,882350,2591950,1418730,1869690
english,131072,1000,499390,809870,1138720,1707370,1505010,2186840
proteins,262144,1600,950550,1398970,1473670,2031380,3389770,2905430
realDNA,262144,900,1351730,481120,569320,8249440,2323500,2305920
DNA,262144,1400,809930,1576060,1528790,2330830,3546370,3028770
english,262144,1000,1255750,1435920,2142950,2573170,2879920,4147470
proteins,524288,1200,1873530,3167140,2944000,89418820,2617360,6104650
realDNA,524288,1600,1375840,3430910,2996540,5402130,6478710,5626240
DNA,524288,1200,1122460,2801170,3230840,5500040,5505690,6334570
english,524288,1400,789220,1358040,3293360,3511180,6311150,7708800
