data,length,construction,dptop,dpmid,dpbot
english,256,6630,136950,10010,3570
realDNA,256,50,134730,6160,4210
DNA,256,50,37270,7190,4710
proteins,256,40,18110,4500,3210
english,512,70,37230,5940,5100
DNA,512,90,58170,2730,3660
realDNA,512,130,1132660,4340,1230
proteins,512,100,28360,1680,1450
DNA,1024,100,143070,2040,2110
english,1024,80,106700,4270,2570
realDNA,1024,90,1530170,3890,2360
proteins,1024,110,84690,5500,2450
english,2048,120,105720,5230,3000
DNA,2048,90,1170930,14180,2860
realDNA,2048,110,915320,5240,3830
proteins,2048,100,1185700,2200,1750
english,4096,160,306540,8520,46370
DNA,4096,110,735270,4660,3110
realDNA,4096,130,1411540,5480,2980
proteins,4096,140,63670,3200,2950
english,8192,130,791600,7460,5470
realDNA,8192,190,2745280,4640,2920
DNA,8192,170,1997220,5970,5470
proteins,8192,180,1498670,4760,4790
proteins,16384,200,876960,5780,7500
realDNA,16384,150,2841760,18920,11120
DNA,16384,150,5419390,7930,10770
english,16384,210,118420,8040,87470
DNA,32768,130,4949740,19590,15240
english,32768,140,1713690,13340,12790
realDNA,32768,140,5857400,15390,10200
proteins,32768,220,4124330,10380,7090
english,65536,170,8233390,26150,265930
realDNA,65536,750,16841780,36220,10600
DNA,65536,70,17477890,18280,18840
proteins,65536,80,7078240,20770,21460
DNA,131072,70,13223830,49320,40850
proteins,131072,90,15029310,66570,35370
realDNA,131072,70,29544240,93840,46820
english,131072,70,6872000,28580,50340
proteins,262144,90,27728680,93790,68470
realDNA,262144,110,86185570,74780,37880
DNA,262144,60,21746630,98120,101590
english,262144,80,19578240,14170,513150
proteins,524288,140,82509030,186390,205070
realDNA,524288,60,48860220,221950,64890
DNA,524288,80,54940940,102750,216370
english,524288,70,3778350,161800,102410
