data,length,construction,dptop,dpmid,dpbot
english,256,256,25,2,0
realDNA,256,1,5,2,2
DNA,256,2,5,1,1
proteins,256,1,3,3,3
english,512,1,6,1,1
DNA,512,1,5,2,2
realDNA,512,2,10,4,19
proteins,512,1,5,1,1
DNA,1024,2,42,11,31
english,1024,1,7,28,2
realDNA,1024,1,17,7,6
proteins,1024,3,7,2,2
english,2048,2,14,4,326
DNA,2048,2,15,7,6
realDNA,2048,2,22,10,9
proteins,2048,2,10,3,2
english,4096,2,41,4,8
DNA,4096,2,712,16,85
realDNA,4096,2,36,16,16
proteins,4096,2,26,10,8
english,8192,2,43,12,17
realDNA,8192,2,79,38,31
DNA,8192,4,72,40,29
proteins,8192,2,24,12,17
proteins,16384,5,68,29,83
realDNA,16384,3,171,75,60
DNA,16384,2,528,76,74
english,16384,2,70,17,17
DNA,32768,2,260,115,141
english,32768,4,118,38,85
realDNA,32768,16,328,114,115
proteins,32768,2,83,41,35
english,65536,2,792,246,1241
realDNA,65536,2,582,267,227
DNA,65536,2,505,289,279
proteins,65536,1,1122,73,94
DNA,131072,3,1437,1120,832
proteins,131072,1,294,134,129
realDNA,131072,2,1158,586,568
english,131072,2,420,150,155
proteins,262144,2,619,426,276
realDNA,262144,2,2629,1048,1300
DNA,262144,19,2346,1384,1119
english,262144,1,1086,326,297
proteins,524288,0,1624,1133,945
realDNA,524288,1,5865,3213,3122
DNA,524288,0,6738,3522,3706
english,524288,0,3502,517,1454
proteins,1048576,2,4243,2553,2552
realDNA,1048576,3,53725,29487,17650
DNA,1048576,1,22027,11883,10008
english,1048576,3,2335,1205,2175
proteins,2097152,0,12264,6682,6575
realDNA,2097152,63,91986,39070,37324
DNA,2097152,1,105555,67805,41078
english,2097152,1,3346,3807,3450
proteins,4194304,1,21877,11238,10224
DNA,4194304,3,197434,136439,190845
realDNA,4194304,2,144674,80308,74731
english,4194304,1,7370,7546,6841
