data,length,construction,dptop,dpmid,dpbot
english,256,5482,149,0,1
realDNA,256,516,133,0,0
DNA,256,69,0,0,0
proteins,256,88,0,0,1
english,512,283,0,2,1
DNA,512,401,0,0,1
realDNA,512,495,1,0,3
proteins,512,157,0,1,0
DNA,1024,457,0,1,0
english,1024,268,1,1,1
realDNA,1024,3692,1,0,5
proteins,1024,417,0,0,2
english,2048,1043,1,1,3
DNA,2048,808,1,1,1
realDNA,2048,6039,0,4,7
proteins,2048,424,0,1,2
english,4096,4950,2,2,0
DNA,4096,5029,0,0,0
realDNA,4096,6946,0,0,2
proteins,4096,950,0,0,4
english,8192,11385,0,2,0
realDNA,8192,20290,0,0,5
DNA,8192,18695,0,0,13
proteins,8192,3500,0,0,7
proteins,16384,7265,0,0,11
realDNA,16384,36191,0,0,4
DNA,16384,34057,0,8,59
english,16384,37455,0,5,0
DNA,32768,32504,0,0,98
english,32768,83049,0,14,0
realDNA,32768,131487,0,0,0
proteins,32768,25900,0,0,11
english,65536,218809,1,0,0
realDNA,65536,450985,0,9,0
DNA,65536,365649,0,0,18
proteins,65536,103495,0,20,15
DNA,131072,1511859,0,0,34
proteins,131072,392222,0,1,9
realDNA,131072,879544,0,0,0
english,131072,622220,0,0,0
proteins,262144,1386645,0,1,23
realDNA,262144,2412824,0,35,0
DNA,262144,1796296,1,0,137
english,262144,1715607,1,1,0
proteins,524288,3358635,0,1,70
realDNA,524288,8405626,0,0,0
DNA,524288,4013083,2,108,73
english,524288,7148866,1,21,0
proteins,1048576,9823285,0,0,28
realDNA,1048576,29161067,0,159,0
DNA,1048576,26924325,1,344,329
english,1048576,33394912,53,64,32
proteins,2097152,17685527,3,88,83
realDNA,2097152,98668412,0,2237,3
DNA,2097152,158275971,0,2,1
english,2097152,69241791,216,3,206
proteins,4194304,28816927,0,478,205
DNA,4194304,192226138,0,2,0
realDNA,4194304,187422648,0,1115,0
english,4194304,159856940,1324,3,1592
