data,length,construction,dptop,dpmid,dpbot
english,256,218,25,1,2
realDNA,256,2,4,1,1
DNA,256,1,3,1,1
proteins,256,1,2,5,1
english,512,1,5,1,1
DNA,512,1,7,2,5
realDNA,512,1,8,5,3
proteins,512,1,4,1,1
DNA,1024,1,226,4,4
english,1024,1,5,2,2
realDNA,1024,1,11,9,7
proteins,1024,1,4,2,2
english,2048,2,30,4,4
DNA,2048,2,10,6,7
realDNA,2048,1,17,9,9
proteins,2048,3,5,3,3
english,4096,2,12,5,8
DNA,4096,2,18,15,15
realDNA,4096,2,20,16,16
proteins,4096,2,13,7,7
english,8192,2,20,1369,7
realDNA,8192,1,43,34,202
DNA,8192,2,45,54,27
proteins,8192,2,12,10,9
proteins,16384,2,25,19,22
realDNA,16384,2,68,72,53
DNA,16384,2,58,62,106
english,16384,2,441,44,163
DNA,32768,3,124,108,126
english,32768,2,39,29,1058
realDNA,32768,1,147,119,108
proteins,32768,2,49,44,41
english,65536,10,86,58,68
realDNA,65536,5,325,273,253
DNA,65536,16,251,274,265
proteins,65536,1,108,98,69
DNA,131072,12,897,1849,768
proteins,131072,2,172,136,127
realDNA,131072,2,572,564,532
english,131072,2,166,116,117
proteins,262144,2,346,320,291
realDNA,262144,17,1192,1085,1367
DNA,262144,3,1938,1076,1087
english,262144,1,572,293,292
proteins,524288,1,908,796,1264
realDNA,524288,1,3216,3020,3216
DNA,524288,1,6730,5928,6823
english,524288,1,1094,703,554
proteins,1048576,2,1722,2498,2696
realDNA,1048576,2,27812,20151,23040
DNA,1048576,3,10597,13248,13586
english,1048576,4,1411,1177,2007
proteins,2097152,2,8388,9543,9081
realDNA,2097152,0,46131,43017,43958
DNA,2097152,3,191112,47133,54630
english,2097152,1,6735,9872,10661
proteins,4194304,1,16396,20586,7935
DNA,4194304,2,130303,113296,140554
realDNA,4194304,0,96367,91557,78547
english,4194304,1,6517,5854,6221
