data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2169,14,0,0,37,1,1
realDNA,256,365,0,0,0,1,1,1
DNA,256,289,0,0,0,1,0,0
proteins,256,354,0,0,0,1,3,0
english,512,820,0,0,1,2,0,0
DNA,512,473,0,0,0,2,0,0
realDNA,512,642,3,0,0,3,0,0
proteins,512,521,0,0,0,1,0,0
DNA,1024,3004,0,0,0,5,0,3
english,1024,1016,0,0,0,3,1,0
realDNA,1024,1295,0,0,0,7,0,0
proteins,1024,2756,0,0,0,1,0,0
english,2048,5970,0,0,0,7,1,1
DNA,2048,1695,0,0,0,9,0,0
realDNA,2048,2985,0,0,0,13,0,0
proteins,2048,1471,0,0,0,3,0,0
english,4096,9007,0,0,0,19,1,68
DNA,4096,8788,0,0,0,21,1,286
realDNA,4096,10891,0,0,0,17,1,0
proteins,4096,9765,0,0,0,4,1,0
english,8192,17310,0,0,0,408,1,5
realDNA,8192,21345,0,0,0,2045,5,0
DNA,8192,12924,0,0,0,35,1,0
proteins,8192,18629,0,0,0,9,2,0
proteins,16384,34277,0,0,0,20,1,0
realDNA,16384,49697,0,0,0,77,2,1
DNA,16384,64895,0,0,0,91,2,0
english,16384,59125,0,1,0,45,2,6
DNA,32768,153986,0,0,0,191,12,0
english,32768,114084,0,1,0,95,3,8
realDNA,32768,169637,0,0,0,160,9,3
proteins,32768,132848,0,0,0,43,2,0
english,65536,315839,0,0,0,175,5,6
realDNA,65536,291591,0,0,0,322,3,5
DNA,65536,282308,0,0,0,344,91,1
proteins,65536,307446,0,0,0,93,2,0
DNA,131072,606561,0,0,0,676,8,2
proteins,131072,573775,3,0,0,170,4,0
realDNA,131072,587229,0,0,0,795,12,12
english,131072,531104,0,0,0,408,33,24
proteins,262144,1044521,0,0,0,357,16,0
realDNA,262144,1289876,0,0,0,3639,8,18
DNA,262144,1102642,0,0,2,1476,2240,4
english,262144,1191253,0,1,0,720,12,13
proteins,524288,2232688,0,0,0,1128,59,1
realDNA,524288,2890545,0,0,0,4527,226,51
DNA,524288,2357625,1,1,0,4091,9,8
english,524288,3711236,3,1,0,2713,48,47
proteins,1048576,7161873,1,2,1,1879,113,3
realDNA,1048576,9798817,1,1,0,76876,27,256
DNA,1048576,4074854,0,0,0,6689,23,19
english,1048576,7253120,0,1,0,7,25,3
proteins,2097152,16153420,0,3,0,6281,19,5
realDNA,2097152,17034546,0,2,0,54034,26,421
DNA,2097152,19033117,1,2,1,80543,97,80
english,2097152,13902332,0,5,0,17,69,5
proteins,4194304,56020046,15888,1,0,16821,38,14
DNA,4194304,26444184,0,0,0,83952,936,160
realDNA,4194304,48235439,25089,8,2,121757,74,2396
english,4194304,34839983,2706,9,0,2506,192,1116
