data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,270,88,0,36,28,1,1
realDNA,256,1,5,3,1,4,3,2
DNA,256,13,2,0,1,1,1,4
proteins,256,2,2,0,1,1,1,0
english,512,1,11,0,0,9,3,1
DNA,512,3,9,1,0,5,8,2
realDNA,512,1,7,1,0,7,3,3
proteins,512,2,2,0,1,1,1,1
DNA,1024,1,7,0,4,8,5,7
english,1024,1,5,1,0,3,2,1
realDNA,1024,10,10,1,0,16,35,16
proteins,1024,1,4,1,0,3,2,1
english,2048,1,27,1,1,10,4,3
DNA,2048,3,31,0,0,14,7,6
realDNA,2048,3,20,1,0,29,9,9
proteins,2048,2,3,0,0,5,3,2
english,4096,2,27,0,7,22,5,11
DNA,4096,2,22,1,15,42,16,136
realDNA,4096,2,19,2,0,39,18,22
proteins,4096,3,5,4,0,10,5,4
english,8192,3,30,1,3,25,7,10
realDNA,8192,2,39,5,0,222,81,70
DNA,8192,2,35,3,0,69,36,34
proteins,8192,1,12,3,0,20,13,9
proteins,16384,2,39,4,0,71,39,350
realDNA,16384,6,131,3292,1,120,60,59
DNA,16384,2,64,2,0,138,60,69
english,16384,2,42,2,977,65,21,18
DNA,32768,2,163,7,1,281,149,146
english,32768,2,87,3,7,513,41,32
realDNA,32768,3,175,11,3,354,190,598
proteins,32768,2,2636,3,0,85,42,41
english,65536,2,249,9,9,229,63,62
realDNA,65536,5,964,3,4,7783,234,235
DNA,65536,3,913,66,1,610,292,2216
proteins,65536,4,90,5,0,184,83,76
DNA,131072,2,1475,9,5,1885,3903,486
proteins,131072,2,5240,6,0,327,2186,176
realDNA,131072,2,1374,13,9,1921,977,534
english,131072,4,640,25,50,4707,225,206
proteins,262144,2,276,16,1,563,395,6002
realDNA,262144,3,2900,29,15,3550,2078,1205
DNA,262144,11,2531,150,7,10125,2721,1359
english,262144,1,1132,22,13,909,355,330
proteins,524288,2,1397,44,1,1844,1275,931
realDNA,524288,3,4237,221,249,7624,7290,3898
DNA,524288,2,3597,8,6,5310,3222,2973
english,524288,3,6947,132,24,4020,2104,1139
proteins,1048576,4,2899,4794,2,5602,3113,2895
realDNA,1048576,1,21343,25,131,28521,20176,18486
DNA,1048576,1,11877,72,14,19756,5877,5756
english,1048576,1,6,22,5,2160,1217,2406
proteins,2097152,1,5936,23,4,8584,6549,6682
realDNA,2097152,1,36345,15,181,88864,37494,37133
DNA,2097152,10,46555,46,45,89785,70958,112840
english,2097152,1,8,44,7,4594,5559,5763
proteins,4194304,1,13599,3559,5,30051,16323,12592
DNA,4194304,1,64912,286,125,159762,76252,74877
realDNA,4194304,3,96390,44,418,224436,79037,80267
english,4194304,1,7,6040,3,31210,7984,8272
proteins,8388608,17657,32575,214,7,131206,32212,28779
