data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,96,210,0,2,70,2,2
realDNA,256,0,3,3,2,5,5,5
DNA,256,0,2,0,0,2,1,2
proteins,256,0,1,0,2,4,1,1
english,512,0,4,2,2,4,3,3
DNA,512,0,169,1,0,5,4,3
realDNA,512,0,5,1,0,12,7,4
proteins,512,0,2,1,0,2,2,1
DNA,1024,0,7,2,7,16,14,16
english,1024,0,5,1,1,6,3,2
realDNA,1024,0,12,2,2,21,12,16
proteins,1024,0,3,1,1,5,4,3
english,2048,0,12,3,2,17,6,7
DNA,2048,0,10,1,3,1884,11,12
realDNA,2048,0,19,4,4,754,18,19
proteins,2048,0,4,2,1,7,5,4
english,4096,0,22,4,20,44,24,26
DNA,4096,0,27,4,250,83,27,166
realDNA,4096,0,19,6,4,40,21,22
proteins,4096,0,7,4,5,17,12,12
english,8192,0,25,5,8,35,13,16
realDNA,8192,0,1217,10,5,76,42,43
DNA,8192,0,34,7,13,78,40,1027
proteins,8192,0,15,8,11,30,24,1588
proteins,16384,0,107,62,120,147,152,185
realDNA,16384,89,372,95,63,324,196,164
DNA,16384,0,63,22,107,1339,138,164
english,16384,0,47,18,24,80,36,39
DNA,32768,0,170,98,156,6282,204,185
english,32768,0,162,106,4831,138,53,63
realDNA,32768,0,220,6478,29,355,182,622
proteins,32768,0,6107,15,22,116,464,76
english,65536,0,172,58,83,455,1028,24384
realDNA,65536,0,1251,50,49,2579,383,338
DNA,65536,0,253,70,58,580,2781,335
proteins,65536,0,89,7261,91,225,2581,2641
DNA,131072,0,734,135,490,1942,970,5273
proteins,131072,0,4181,121,300,474,310,711
realDNA,131072,0,614,56,130,1813,641,1077
english,131072,0,390,80,165,1280,331,1017
proteins,262144,1,4421,389,1353,2401,3594,6070
realDNA,262144,0,1305,793,1032,4780,3414,5727
DNA,262144,3,1862,343,363,3485,2590,3513
english,262144,0,761,282,1070,6384,2473,3515
proteins,524288,0,1013,629,2090,3676,2326,8395
realDNA,524288,0,5546,717,2409,10297,6066,7342
DNA,524288,0,3378,671,2530,14472,4776,9742
english,524288,0,7024,750,4461,4761,2881,4081
proteins,1048576,0,2337,3042,9388,13835,6139,7625
realDNA,1048576,0,14210,4129,8896,39075,20400,16776
DNA,1048576,0,8158,1401,1998,15070,10584,19376
english,1048576,0,3671,2243,4591,5174,6586,8712
proteins,2097152,0,8318,11058,19573,16811,150627,18746
realDNA,2097152,0,50678,13071,5981,113357,96351,54580
DNA,2097152,0,46494,6204,7767,123261,70174,52126
english,2097152,0,8114,2002,9455,22648,9422,16385
proteins,4194304,1,17317,20630,39216,70522,56035,336180
DNA,4194304,0,143019,27937,35516,183566,121150,137297
realDNA,4194304,0,152846,21943,15862,220813,124638,118077
english,4194304,0,286181,86847,167478,391889,221539,650463
