data,length,construction,dptop,dpmid,dpbot
english,256,315,34,3,3
realDNA,256,2,18,15,11
DNA,256,2,17,6,4
proteins,256,1,5,5,2
english,512,2,19,7,3
DNA,512,1,28,10,11
realDNA,512,1,35,12,7
proteins,512,2,7,5,3
DNA,1024,2,59,13,49
english,1024,2,32,9,5
realDNA,1024,1,79,16,12
proteins,1024,2,46,10,5
english,2048,7,106,14,10
DNA,2048,2,65,17,15
realDNA,2048,3,124,17,72
proteins,2048,2,20,7,4
english,4096,2,76,10,14
DNA,4096,2,355,32,253
realDNA,4096,3,179,54,89
proteins,4096,2,71,25,13
english,8192,1,165,13,18
realDNA,8192,2,442,102,56
DNA,8192,1,283,55,41
proteins,8192,1,95,40,15
proteins,16384,243,225,39,28
realDNA,16384,1,594,101,94
DNA,16384,2,601,91,82
english,16384,2,366,36,44
DNA,32768,2,1750,237,165
english,32768,4,604,53,61
realDNA,32768,2,1303,304,243
proteins,32768,2,425,72,58
english,65536,2,2365,108,164
realDNA,65536,1,2816,342,356
DNA,65536,3,4130,1171,324
proteins,65536,2,768,122,107
DNA,131072,2,7746,1208,1440
proteins,131072,2,1570,216,171
realDNA,131072,2,6332,789,733
english,131072,2,2934,298,190
proteins,262144,2,3081,462,375
realDNA,262144,150,13497,1293,1567
DNA,262144,1,12582,2089,1250
english,262144,2,6345,604,370
proteins,524288,0,6341,1198,1025
realDNA,524288,1,28651,4545,3370
DNA,524288,3,38028,4360,5345
english,524288,0,15821,751,701
proteins,1048576,1,16741,3003,1382
realDNA,1048576,4,101509,11617,11984
DNA,1048576,2,80066,10668,10814
english,1048576,1,1242,2053,1206
proteins,2097152,1,39155,4304,4045
realDNA,2097152,2,204824,21645,26233
DNA,2097152,3,193449,19972,23436
english,2097152,1,2435,2814,2742
proteins,4194304,74,64379,6278,5923
DNA,4194304,1,511895,47492,49333
realDNA,4194304,81,371292,29594,34251
english,4194304,84,4818,5282,4812
