data,length,construction,dptop,dpmid,dpbot
english,256,40,71,2,2
realDNA,256,0,9,7,5
DNA,256,0,7,5,4
proteins,256,0,4,2,4
english,512,0,6,2,2
DNA,512,0,133,7,7
realDNA,512,0,15,7,7
proteins,512,0,5,4,3
DNA,1024,0,13,9,9
english,1024,0,14,5,6
realDNA,1024,0,16,12,18
proteins,1024,0,13,5,5
english,2048,0,12,34,9
DNA,2048,0,53,15,14
realDNA,2048,0,31,14,13
proteins,2048,0,5,4,4
english,4096,0,8,5,5
DNA,4096,0,26,23,24
realDNA,4096,0,28,26,25
proteins,4096,0,15,8,11
english,8192,1,23,10,10
realDNA,8192,0,57,62,47
DNA,8192,0,136,180,54
proteins,8192,0,25,15,15
proteins,16384,0,33,30,30
realDNA,16384,0,95,86,85
DNA,16384,0,141,220,89
english,16384,0,24,22,22
DNA,32768,0,240,195,189
english,32768,1,61,40,57
realDNA,32768,3,186,170,158
proteins,32768,0,65,72,55
english,65536,0,104,107,97
realDNA,65536,0,335,320,323
DNA,65536,1,514,325,314
proteins,65536,1,132,140,103
DNA,131072,0,662,620,722
proteins,131072,0,376,178,172
realDNA,131072,0,940,884,756
english,131072,0,236,320,193
proteins,262144,0,425,343,331
realDNA,262144,2,1435,1767,1574
DNA,262144,0,1251,1239,1527
english,262144,0,502,397,411
proteins,524288,0,832,1442,871
realDNA,524288,0,3727,3190,3194
DNA,524288,0,4198,5023,3706
english,524288,0,656,663,687
proteins,1048576,0,1561,2377,1344
realDNA,1048576,0,5536,5298,5374
DNA,1048576,0,9558,7168,7197
english,1048576,0,1301,2130,1240
proteins,2097152,0,6703,6163,5499
realDNA,2097152,0,27339,29503,26984
DNA,2097152,0,19675,15299,14704
english,2097152,0,3610,3631,4201
proteins,4194304,0,6221,5375,5916
DNA,4194304,0,30816,29537,26685
realDNA,4194304,0,40043,37780,29056
english,4194304,0,14083,34544,6632
