data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2571,26,3,11,48,5,1
realDNA,256,91,6,2,4,28,12,27
DNA,256,52,4,0,1,15,7,4
proteins,256,49,2,2,2,5,5,3
english,512,71,5,3,0,15,8,4
DNA,512,65,6,6,1,33,37,8
realDNA,512,98,10,3,1,73,81,87
proteins,512,51,2,2,1,7,7,4
DNA,1024,175,12,4,12,74,29,74
english,1024,128,8,0,1,28,9,5
realDNA,1024,253,17,3,1,175,27,18
proteins,1024,69,4,4,1,19,16,6
english,2048,265,19,0,0,67,13,11
DNA,2048,445,35,0,1,294,39,26
realDNA,2048,546,34,0,2,256,49,33
proteins,2048,290,12,6,0,60,30,20
english,4096,645,47,10,15,225,58,73
DNA,4096,1022,72,6,63,482,83,562
realDNA,4096,971,78,0,0,667,71,66
proteins,4096,482,17,5,1,88,30,18
english,8192,1154,88,15,20,610,64,71
realDNA,8192,5700,122,7,0,1688,185,206
DNA,8192,5022,108,7,1,1140,168,121
proteins,8192,909,43,25,1,301,134,56
proteins,16384,2137,103,1,2,975,115,98
realDNA,16384,3365,215,12,0,2726,324,247
DNA,16384,3574,281,0,3,3270,290,206
english,16384,2273,136,9,19,1052,71,101
DNA,32768,7677,480,0,0,5512,509,491
english,32768,5643,625,20,25,2236,189,164
realDNA,32768,6875,477,0,11,5614,412,443
proteins,32768,11108,127,0,1,1546,144,125
english,65536,10520,723,1,29,3642,220,281
realDNA,65536,23190,873,788,15,8965,3475,880
DNA,65536,29481,761,44,0,8883,1144,770
proteins,65536,6081,237,15,2,3026,313,234
DNA,131072,23112,1598,106,0,19156,2951,1549
proteins,131072,35067,439,0,0,4020,527,437
realDNA,131072,45337,1642,22,30,19334,1828,1918
english,131072,42660,908,28,36,7141,526,501
proteins,262144,42722,1012,0,0,7885,998,851
realDNA,262144,90431,3134,28,46,37563,3334,3584
DNA,262144,75095,3061,46,0,34167,3690,3294
english,262144,65578,1807,1,44,14792,860,1874
proteins,524288,126773,1722,267,0,15025,2547,1675
realDNA,524288,145206,6453,0,99,79213,7741,7800
DNA,524288,150152,6187,94,0,72596,7024,6360
english,524288,151122,3690,41,73,30049,1802,1819
proteins,1048576,169948,3419,102,0,32250,4377,3612
realDNA,1048576,315739,12996,0,239,159569,28081,16023
DNA,1048576,263562,12841,0,0,167775,13314,12666
english,1048576,282031,0,113,0,3004,3342,2971
proteins,2097152,514332,6993,1,0,67278,7514,7318
realDNA,2097152,649289,26475,1,550,380966,27361,32753
DNA,2097152,584909,26339,392,95,334203,30406,27906
english,2097152,557818,0,106,0,6169,6963,6032
proteins,4194304,1750951,14213,455,0,132807,16030,13601
DNA,4194304,975695,50310,3093,201,725006,98148,51763
realDNA,4194304,1438126,52968,1,1143,814688,55807,69756
english,4194304,2040318,0,2,0,13149,13673,12791
proteins,8388608,7176812,27598,205,27,286124,29302,28668
DNA,8388608,5930894,103396,439,402,1606599,106804,106586
realDNA,8388608,2873381,123574,1,2461,1905551,118780,155071
english,8388608,6716311,0,406,0,26076,27791,26302
proteins,16777216,21096367,84819,65,21,611872,59120,56637
DNA,16777216,5489003,285059,214,2130,4492343,537724,216866
realDNA,16777216,19936380,319702,301,8477,4947596,448000,325282
english,16777216,25034075,0,51,0,57316,104494,83825
