data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,8373,12,2,1,556,14,2
realDNA,256,30,7,4,4,62,80,68
DNA,256,37,8,1,1,39,10,1
proteins,256,52,3,2,4,12,12,2
english,512,164,10,2,1,78,22,13
DNA,512,69,8,2,1,87,20,2
realDNA,512,89,10,3,1,207,33,1
proteins,512,99,5,2,1,19,11,2
DNA,1024,167,11,2,8,314,20,303
english,1024,159,9,3,1,556,28,3
realDNA,1024,2515,13,3,1,489,44,2
proteins,1024,166,7,4,1,61,28,2
english,2048,3318,18,5,3,516,53,25
DNA,2048,359,15,3,1,689,45,4
realDNA,2048,442,22,4,1,1093,38,5
proteins,2048,2193,4,1,0,112,24,6
english,4096,1672,22,1,7,1169,49,268
DNA,4096,712,23,1,22,2601,129,2857
realDNA,4096,632,25,3,1,1543,119,15
proteins,4096,430,12,3,0,195,94,1
english,8192,1161,35,2,6,1193,45,161
realDNA,8192,1056,58,7,1,4222,593,63
DNA,8192,1037,43,3,0,7897,250,8
proteins,8192,1074,17,6,0,549,148,1
proteins,16384,3113,39,3,0,5454,119,1
realDNA,16384,1911,87,3,3,9894,565,481
DNA,16384,2053,83,4,0,9745,194,22
english,16384,2003,61,2,7,5731,95,372
DNA,32768,4300,457,11,1,25725,1870,56
english,32768,19785,103,3,9,6832,147,651
realDNA,32768,8608,164,13,4,21123,1588,463
proteins,32768,4579,59,5,0,6422,194,4
english,65536,15965,3020,10,13,17732,656,920
realDNA,65536,12447,322,4,6,66693,729,1202
DNA,65536,10257,958,92,1,74864,18914,763
proteins,65536,8434,102,4,0,10140,275,11
DNA,131072,23479,691,10,2,153538,3264,500
proteins,131072,27914,198,10,1,17063,543,30
realDNA,131072,22065,807,25,15,182596,2915,2940
english,131072,24985,362,20,15,43296,1733,1711
proteins,262144,52937,386,22,1,47958,2529,89
realDNA,262144,48560,1274,11,29,572594,3168,7658
DNA,262144,54793,1452,97,5,569162,32287,1569
english,262144,51297,836,16,18,101843,2007,1966
proteins,524288,93820,1027,103,1,102676,7393,121
realDNA,524288,109141,3484,170,38,1438474,88619,19271
DNA,524288,105299,2748,11,8,1202896,5310,4629
english,524288,130645,1477,13,52,354628,1692,5924
proteins,1048576,352660,1400,93,3,499981,36778,585
realDNA,1048576,417712,14752,19,150,9268062,23341,300953
DNA,1048576,219563,4991,20,19,5513154,24072,26052
english,1048576,335939,7,18,6,1037,6356,2053
proteins,2097152,733816,3632,25,5,1137056,9046,1051
realDNA,2097152,794176,21679,22,211,25758625,34095,453117
DNA,2097152,773360,20235,43,44,23611344,111121,109901
english,2097152,642166,9,39,7,1036,12609,990
proteins,4194304,3075241,15272,27,6,2766676,15699,3470
DNA,4194304,1105541,26311,2441,100,66084682,1287448,289923
realDNA,4194304,1138256,27872,37,455,61206828,93612,1304754
english,4194304,892322,8,77,9,3954,24014,1759
