data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,284,12,2,1,67,5,2
realDNA,256,1,10,6,4,33,30,29
DNA,256,1,255,1,1,16,7,4
proteins,256,1,3,7,1,7,8,2
english,512,2,36,2,1,96,9,56
DNA,512,1,19,2,1,55,14,7
realDNA,512,2,11,3,1,78,17,7
proteins,512,1,4,4,4,8,7,3
DNA,1024,1,17,2,9,219,15,80
english,1024,2,29,3,1,53,10,5
realDNA,1024,1,15,3,1,134,22,12
proteins,1024,2,8,5,1,21,12,5
english,2048,3,33,5,5,92,13,10
DNA,2048,3,19,3,1,268,26,212
realDNA,2048,2,22,3,1,174,30,19
proteins,2048,2,5,1,0,26,7,5
english,4096,2,24,1,6,118,10,27
DNA,4096,3,24,1,40,1421,36,224
realDNA,4096,2,27,2,0,382,61,31
proteins,4096,2,8,3,0,54,31,10
english,8192,5,77,2,7,219,15,25
realDNA,8192,2,66,9,2,4500,135,55
DNA,8192,2,51,6,0,514,62,47
proteins,8192,1,44,8,0,174,62,18
proteins,16384,1,32,4,0,580,89,37
realDNA,16384,3,116,21,4,3619,142,115
DNA,16384,2,248,4,0,1111,96,525
english,16384,2,61,4,8,449,34,57
DNA,32768,1,233,10,1,2621,477,202
english,32768,3,422,4,11,978,58,67
realDNA,32768,4,191,20,5,2503,324,238
proteins,32768,2,57,5,0,1265,89,60
english,65536,1,318,17,20,2457,114,117
realDNA,65536,5,331,4,6,8505,375,823
DNA,65536,1,344,86,1,4373,1423,324
proteins,65536,5,125,9,0,1139,132,152
DNA,131072,2,823,23,3,10101,810,716
proteins,131072,2,250,11,1,1886,493,515
realDNA,131072,2,895,15,13,17485,1379,871
english,131072,1,392,20,20,3724,353,235
proteins,262144,3,376,29,1,11643,977,356
realDNA,262144,2,1564,14,21,35308,1390,1929
DNA,262144,9,1560,98,5,23445,2335,1572
english,262144,1,909,16,19,8182,455,368
proteins,524288,1,795,53,1,24403,2711,1083
realDNA,524288,0,2891,171,38,44753,5796,3846
DNA,524288,1,3056,16,8,49207,2962,2985
english,524288,2,2498,17,33,49256,1276,761
proteins,1048576,1,1898,131,4,35846,3270,2192
realDNA,1048576,1,14938,15,98,191564,10460,8655
DNA,1048576,1,5392,20,18,97149,5782,5681
english,1048576,1,9,24,7,2403,1597,2468
proteins,2097152,8,6437,21,5,152791,6826,7291
realDNA,2097152,1,24758,23,211,334503,19841,34162
DNA,2097152,1,19786,41,38,307489,47687,33547
english,2097152,1,10,40,5,2750,3703,3268
proteins,4194304,182,6901,28,6,82168,7585,6897
DNA,4194304,1,30701,1339,82,616550,40492,35515
realDNA,4194304,47,33184,34,430,708044,31984,50627
english,4194304,67,9,65,8,5782,7809,5970
